snapshot_id,vendor_id,vendor_name,month,price_index,on_time_delivery_rate,response_rate,quality_score,bids_won,bids_lost,disputes_raised,capacity_utilization,lead_time_days_avg,defect_rate_ppm
VP-V001-202401,V001,Kovacs Precision GmbH,2024-01-01,0.916,0.75,0.6,8.7,1,0,0,83.1,10.0,370.0
VP-V001-202402,V001,Kovacs Precision GmbH,2024-02-01,0.902,0.74,0.59,8.7,1,0,0,77.8,32.7,48.0
VP-V001-202403,V001,Kovacs Precision GmbH,2024-03-01,0.887,0.72,0.56,8.9,1,3,0,73.2,40.8,97.0
VP-V001-202404,V001,Kovacs Precision GmbH,2024-04-01,0.925,0.73,0.61,8.4,1,4,0,74.6,30.5,309.0
VP-V001-202405,V001,Kovacs Precision GmbH,2024-05-01,0.894,0.74,0.58,8.7,3,5,0,74.4,26.9,500.0
VP-V001-202406,V001,Kovacs Precision GmbH,2024-06-01,0.907,0.72,0.65,8.4,2,1,0,77.6,18.9,61.0
VP-V001-202407,V001,Kovacs Precision GmbH,2024-07-01,0.891,0.74,0.65,8.9,2,3,0,76.3,31.5,230.0
VP-V001-202408,V001,Kovacs Precision GmbH,2024-08-01,0.889,0.73,0.59,9.1,3,2,0,78.2,42.6,42.0
VP-V001-202409,V001,Kovacs Precision GmbH,2024-09-01,0.911,0.73,0.58,9.0,0,3,0,80.9,28.4,372.0
VP-V001-202410,V001,Kovacs Precision GmbH,2024-10-01,0.897,0.73,0.63,9.1,0,0,0,74.9,26.2,232.0
VP-V001-202411,V001,Kovacs Precision GmbH,2024-11-01,0.893,0.72,0.65,9.2,1,2,0,76.5,40.4,368.0
VP-V001-202412,V001,Kovacs Precision GmbH,2024-12-01,0.911,0.73,0.63,9.3,2,2,0,76.7,38.7,430.0
VP-V001-202501,V001,Kovacs Precision GmbH,2025-01-01,0.875,0.75,0.61,8.7,2,4,0,77.2,37.7,39.0
VP-V001-202502,V001,Kovacs Precision GmbH,2025-02-01,0.904,0.75,0.68,8.6,4,0,0,73.6,28.1,224.0
VP-V001-202503,V001,Kovacs Precision GmbH,2025-03-01,0.917,0.75,0.58,9.0,0,1,0,77.2,40.8,376.0
VP-V001-202504,V001,Kovacs Precision GmbH,2025-04-01,0.898,0.74,0.59,8.4,4,1,0,78.0,30.0,327.0
VP-V001-202505,V001,Kovacs Precision GmbH,2025-05-01,0.906,0.74,0.54,8.7,2,1,0,75.4,39.4,182.0
VP-V001-202506,V001,Kovacs Precision GmbH,2025-06-01,0.904,0.75,0.7,8.9,4,3,0,77.8,41.5,257.0
VP-V002-202401,V002,Tanaka Electrical KK,2024-01-01,0.979,0.76,0.56,9.2,0,0,0,62.4,38.5,284.0
VP-V002-202402,V002,Tanaka Electrical KK,2024-02-01,1.004,0.75,0.62,8.7,0,0,0,66.4,12.0,169.0
VP-V002-202403,V002,Tanaka Electrical KK,2024-03-01,1.024,0.74,0.59,9.2,2,1,0,59.2,28.0,180.0
VP-V002-202404,V002,Tanaka Electrical KK,2024-04-01,1.012,0.75,0.48,8.5,3,4,1,59.0,9.9,347.0
VP-V002-202405,V002,Tanaka Electrical KK,2024-05-01,1.002,0.77,0.52,8.4,1,4,1,66.5,21.0,148.0
VP-V002-202406,V002,Tanaka Electrical KK,2024-06-01,1.019,0.77,0.48,8.6,4,1,0,64.2,8.6,378.0
VP-V002-202407,V002,Tanaka Electrical KK,2024-07-01,1.004,0.74,0.59,8.6,2,6,0,64.2,8.5,326.0
VP-V002-202408,V002,Tanaka Electrical KK,2024-08-01,1.014,0.76,0.57,8.3,2,1,0,70.7,32.3,359.0
VP-V002-202409,V002,Tanaka Electrical KK,2024-09-01,1.01,0.76,0.51,8.7,2,6,0,67.8,40.2,180.0
VP-V002-202410,V002,Tanaka Electrical KK,2024-10-01,1.039,0.76,0.6,9.1,4,5,0,62.2,42.3,164.0
VP-V002-202411,V002,Tanaka Electrical KK,2024-11-01,1.019,0.75,0.56,8.6,1,6,0,64.3,40.5,383.0
VP-V002-202412,V002,Tanaka Electrical KK,2024-12-01,1.033,0.77,0.55,9.3,0,1,0,65.7,19.6,139.0
VP-V002-202501,V002,Tanaka Electrical KK,2025-01-01,1.023,0.76,0.55,8.7,3,6,0,65.1,34.9,269.0
VP-V002-202502,V002,Tanaka Electrical KK,2025-02-01,1.028,0.74,0.54,8.8,1,2,0,64.1,33.6,123.0
VP-V002-202503,V002,Tanaka Electrical KK,2025-03-01,1.043,0.76,0.52,8.5,3,6,1,63.4,24.9,153.0
VP-V002-202504,V002,Tanaka Electrical KK,2025-04-01,1.048,0.76,0.61,8.8,1,6,0,57.7,20.3,159.0
