week_start,commodity,unit,price,yoy_change_pct,shock_flag
2024-01-01,Steel HR Coil,USD/MT,686.389,,0
2024-01-08,Steel HR Coil,USD/MT,700.006,,0
2024-01-15,Steel HR Coil,USD/MT,697.226,,0
2024-01-22,Steel HR Coil,USD/MT,723.812,,0
2024-01-29,Steel HR Coil,USD/MT,700.893,,0
2024-02-05,Steel HR Coil,USD/MT,714.296,,0
2024-02-12,Steel HR Coil,USD/MT,704.762,,0
2024-02-19,Steel HR Coil,USD/MT,736.325,,0
2024-02-26,Steel HR Coil,USD/MT,774.329,,0
2024-03-04,Steel HR Coil,USD/MT,760.881,,0
2024-03-11,Steel HR Coil,USD/MT,751.797,,0
2024-03-18,Steel HR Coil,USD/MT,769.306,,0
2024-03-25,Steel HR Coil,USD/MT,763.246,,0
2024-04-01,Steel HR Coil,USD/MT,763.753,,0
2024-04-08,Steel HR Coil,USD/MT,765.613,,0
2024-04-15,Steel HR Coil,USD/MT,730.247,,0
2024-04-22,Steel HR Coil,USD/MT,731.309,,0
2024-04-29,Steel HR Coil,USD/MT,720.016,,0
2024-05-06,Steel HR Coil,USD/MT,712.435,,0
2024-05-13,Steel HR Coil,USD/MT,739.43,,0
2024-05-20,Steel HR Coil,USD/MT,717.533,,0
2024-05-27,Steel HR Coil,USD/MT,733.413,,0
2024-06-03,Steel HR Coil,USD/MT,729.618,,0
2024-06-10,Steel HR Coil,USD/MT,725.828,,0
2024-06-17,Steel HR Coil,USD/MT,741.476,,0
2024-06-24,Steel HR Coil,USD/MT,749.115,,0
2024-07-01,Steel HR Coil,USD/MT,761.149,,0
2024-07-08,Steel HR Coil,USD/MT,780.943,,0
2024-07-15,Steel HR Coil,USD/MT,775.88,,0
2024-07-22,Steel HR Coil,USD/MT,765.401,,0
2024-07-29,Steel HR Coil,USD/MT,746.015,,0
2024-08-05,Steel HR Coil,USD/MT,731.963,,0
2024-08-12,Steel HR Coil,USD/MT,787.246,,0
2024-08-19,Steel HR Coil,USD/MT,813.16,,0
2024-08-26,Steel HR Coil,USD/MT,787.158,,0
2024-09-02,Steel HR Coil,USD/MT,854.056,,1
2024-09-09,Steel HR Coil,USD/MT,969.788,,1
2024-09-16,Steel HR Coil,USD/MT,1102.978,,1
2024-09-23,Steel HR Coil,USD/MT,1254.51,,1
2024-09-30,Steel HR Coil,USD/MT,1398.625,,1
2024-10-07,Steel HR Coil,USD/MT,1564.367,,1
2024-10-14,Steel HR Coil,USD/MT,1769.606,,1
