sales_order_id,customer,customer_country,order_date,delivery_deadline,urgency_level,total_value_usd,order_status
SO-2024-0001,Airbus SE,France,2025-04-18,2025-06-17,standard,30393.03,closed
SO-2024-0002,Airbus SE,France,2024-11-23,2025-01-21,standard,103547.42,closed
SO-2024-0003,GE Aviation,USA,2024-06-23,2024-08-22,standard,94733.68,closed
SO-2024-0004,GE Aviation,USA,2024-08-18,2024-10-18,standard,32613.04,closed
SO-2024-0005,FANUC Corporation,Japan,2025-01-04,2025-01-27,critical,5405.58,closed
SO-2024-0006,Siemens Energy,Germany,2024-05-03,2024-07-05,standard,267368.49,closed
SO-2024-0007,FANUC Corporation,Japan,2024-01-27,2024-04-05,standard,49774.7,closed
SO-2024-0008,Airbus SE,France,2024-03-01,2024-04-04,expedited,158959.52,closed
SO-2024-0009,Tata Advanced Systems,India,2024-09-17,2024-11-22,standard,141635.26,closed
SO-2024-0010,Airbus SE,France,2025-02-28,2025-05-09,standard,43601.57,closed
SO-2024-0011,Volkswagen AG,Germany,2025-02-01,2025-03-07,expedited,4786.22,closed
SO-2024-0012,Siemens Energy,Germany,2024-12-14,2025-02-14,standard,2125.9,closed
SO-2024-0013,Tata Advanced Systems,India,2024-04-14,2024-06-19,standard,36692.48,closed
SO-2024-0014,Volkswagen AG,Germany,2025-01-04,2025-02-10,expedited,36817.22,closed
SO-2024-0015,Rolls-Royce PLC,UK,2024-12-12,2025-02-20,standard,125050.57,closed
SO-2024-0016,Rolls-Royce PLC,UK,2024-12-22,2025-01-10,critical,13795.64,closed
SO-2024-0017,Embraer S.A.,Brazil,2024-07-30,2024-10-03,standard,79260.08,closed
SO-2024-0018,FANUC Corporation,Japan,2024-01-31,2024-04-01,standard,43746.49,closed
SO-2024-0019,Hexagon AG,Germany,2024-10-17,2024-12-17,standard,84170.02,closed
SO-2024-0020,Tata Advanced Systems,India,2024-11-27,2025-01-02,expedited,91355.41,closed
SO-2024-0021,Volkswagen AG,Germany,2025-02-27,2025-03-24,critical,125580.44,closed
SO-2024-0022,Rolls-Royce PLC,UK,2024-12-20,2025-01-24,expedited,55391.6,closed
SO-2024-0023,Bombardier Inc.,Canada,2024-12-19,2025-01-21,expedited,67946.03,closed
SO-2024-0024,GE Aviation,USA,2025-02-14,2025-03-21,expedited,100040.5,closed
SO-2024-0025,Airbus SE,France,2025-02-28,2025-05-09,standard,173599.95,closed
SO-2024-0026,Siemens Energy,Germany,2024-01-30,2024-04-09,standard,45002.47,closed
SO-2024-0027,Hexagon AG,Germany,2024-02-05,2024-02-29,critical,10972.0,closed
SO-2024-0028,Bombardier Inc.,Canada,2024-08-03,2024-09-10,expedited,24272.88,closed
SO-2024-0029,Tata Advanced Systems,India,2024-04-24,2024-05-24,expedited,1473.19,closed
SO-2024-0030,Embraer S.A.,Brazil,2024-06-26,2024-08-27,standard,10744.66,closed
SO-2024-0031,Mitsubishi Heavy,Japan,2024-08-16,2024-09-17,expedited,22625.55,closed
SO-2024-0032,BHEL,India,2024-04-29,2024-05-21,critical,96782.99,closed
SO-2024-0033,Siemens Energy,Germany,2024-01-25,2024-03-04,expedited,163273.54,closed
SO-2024-0034,GE Aviation,USA,2024-10-14,2024-11-06,critical,42744.28,closed
SO-2024-0035,Rolls-Royce PLC,UK,2024-11-05,2025-01-02,standard,26439.06,closed
SO-2024-0036,GE Aviation,USA,2025-04-09,2025-06-13,standard,52250.34,closed
SO-2024-0037,Embraer S.A.,Brazil,2025-02-01,2025-03-10,expedited,232161.92,closed
SO-2024-0038,Embraer S.A.,Brazil,2024-07-30,2024-09-26,standard,53495.12,closed
SO-2024-0039,Volkswagen AG,Germany,2025-01-25,2025-04-03,standard,171693.87,closed
