wo_item_id,work_order_id,material_code,description,category,quantity,unit,target_unit_price_usd,required_by_date,preferred_vendor_category
WO-2024-0001-I01,WO-2024-0001,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,87,pcs,170.26,2025-06-06,Mechanical Parts
WO-2024-0001-I02,WO-2024-0001,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,38,pcs,371.59,2025-06-01,Mechanical Parts
WO-2024-0004-I01,WO-2024-0004,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,54,pcs,169.67,2024-10-04,Mechanical Parts
WO-2024-0004-I02,WO-2024-0004,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,58,pcs,383.79,2024-10-07,Mechanical Parts
WO-2024-0004-I03,WO-2024-0004,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,115,kg,4.32,2024-10-03,Mechanical Parts
WO-2024-0005-I01,WO-2024-0005,RAW-4403,Copper Busbar 40×4mm,Raw Materials,70,m,19.49,2025-01-10,Raw Materials
WO-2024-0005-I02,WO-2024-0005,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,117,pcs,32.8,2025-01-17,Mechanical Parts
WO-2024-0005-I03,WO-2024-0005,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,7,pcs,14.14,2025-01-10,Electrical Components
WO-2024-0006-I01,WO-2024-0006,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,117,pcs,1853.85,2024-06-21,Electrical Components
WO-2024-0006-I02,WO-2024-0006,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,91,pcs,394.22,2024-06-21,Mechanical Parts
WO-2024-0006-I03,WO-2024-0006,RAW-4404,Stainless 316L Sheet 2mm,Raw Materials,73,kg,3.83,2024-06-22,Raw Materials
WO-2024-0006-I04,WO-2024-0006,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,18,kg,3.76,2024-06-21,Mechanical Parts
