rfq_id,work_order_ref,category,issue_date,bid_deadline,n_vendors_invited,urgency,estimated_value_usd,mirofish_flag,status
RFQ-0001,WO-2024-0001,Mechanical Parts,2025-04-23,2025-05-12,8,standard,33865.62,,closed
RFQ-0002,WO-2024-0004,Mechanical Parts,2024-08-21,2024-09-03,8,standard,42205.35,,closed
RFQ-0003,WO-2024-0005,Electrical Components,2025-01-07,2025-01-20,7,critical,4295.81,,closed
RFQ-0004,WO-2024-0006,Electrical Components,2024-05-05,2024-05-14,7,standard,186269.96,,closed
RFQ-0005,WO-2024-0007,Electrical Components,2024-01-31,2024-02-16,7,standard,79533.47,,closed
RFQ-0006,WO-2024-0008,Electrical Components,2024-03-06,2024-03-20,7,expedited,183666.21,scenario_1,closed
RFQ-0007,WO-2024-0009,Electrical Components,2024-09-21,2024-10-03,7,standard,151175.85,,closed
RFQ-0008,WO-2024-0010,Electrical Components,2025-03-03,2025-03-20,7,standard,37225.7,,closed
RFQ-0009,WO-2024-0011,Electrical Components,2025-02-05,2025-02-21,7,expedited,7984.54,scenario_1,closed
RFQ-0010,WO-2024-0012,Electrical Components,2024-12-17,2025-01-01,7,standard,4196.8,,closed
RFQ-0011,WO-2024-0013,Electrical Components,2024-04-18,2024-05-01,7,standard,35100.63,,closed
RFQ-0012,WO-2024-0014,Electrical Components,2025-01-07,2025-01-22,7,expedited,46636.78,,closed
RFQ-0013,WO-2024-0015,Electrical Components,2024-12-16,2025-01-01,7,standard,111171.26,,closed
RFQ-0014,WO-2024-0016,Electrical Components,2024-12-25,2025-01-06,7,critical,14481.46,,closed
RFQ-0015,WO-2024-0017,Mechanical Parts,2024-08-03,2024-08-15,8,standard,98548.22,,closed
RFQ-0016,WO-2024-0020,Electrical Components,2024-11-30,2024-12-19,7,expedited,148706.13,scenario_1,closed
RFQ-0017,WO-2024-0021,Electrical Components,2025-03-02,2025-03-11,7,critical,159081.58,,closed
RFQ-0018,WO-2024-0022,Mechanical Parts,2024-12-22,2025-01-06,8,expedited,52216.8,,closed
RFQ-0019,WO-2024-0023,Electrical Components,2024-12-21,2025-01-06,7,expedited,138907.46,,closed
RFQ-0020,WO-2024-0024,Raw Materials,2025-02-18,2025-03-07,8,expedited,79908.82,,closed
RFQ-0021,WO-2024-0025,Electrical Components,2025-03-04,2025-03-17,7,standard,146307.87,,closed
RFQ-0022,WO-2024-0026,Raw Materials,2024-02-03,2024-02-16,8,standard,44512.98,,closed
RFQ-0023,WO-2024-0027,Electrical Components,2024-02-07,2024-02-22,7,critical,7100.2,,closed
RFQ-0024,WO-2024-0028,Electrical Components,2024-08-07,2024-08-21,7,expedited,23609.19,,closed
RFQ-0025,WO-2024-0029,Electrical Components,2024-04-29,2024-05-16,7,expedited,1689.0,,closed
RFQ-0026,WO-2024-0030,Mechanical Parts,2024-06-30,2024-07-11,8,standard,23056.0,,closed
RFQ-0027,WO-2024-0031,Electrical Components,2024-08-20,2024-09-03,7,expedited,29975.52,,closed
RFQ-0028,WO-2024-0032,Electrical Components,2024-05-03,2024-05-16,7,critical,165772.08,,closed
RFQ-0029,WO-2024-0033,Electrical Components,2024-01-28,2024-02-09,7,expedited,179514.4,scenario_1,closed
RFQ-0030,WO-2024-0034,Electrical Components,2024-10-17,2024-11-06,7,critical,45481.4,scenario_1,closed
RFQ-0031,WO-2024-0036,Mechanical Parts,2025-04-13,2025-04-28,8,standard,54065.54,,closed
RFQ-0032,WO-2024-0037,Electrical Components,2025-02-05,2025-02-18,7,expedited,218353.39,,closed
RFQ-0033,WO-2024-0038,Mechanical Parts,2024-08-01,2024-08-14,8,standard,44305.72,,closed
RFQ-0034,WO-2024-0039,Electrical Components,2025-01-29,2025-02-07,7,standard,147147.37,,closed
RFQ-0035,WO-2024-0040,Electrical Components,2024-12-12,2024-12-24,7,critical,8770.0,,closed
RFQ-0036,WO-2024-0041,Electrical Components,2024-08-24,2024-09-05,7,standard,60686.34,,closed
RFQ-0037,WO-2024-0042,Electrical Components,2024-10-14,2024-10-25,7,standard,48276.54,scenario_1,closed
RFQ-0038,WO-2024-0043,Mechanical Parts,2025-02-18,2025-03-10,8,expedited,8335.53,,closed
RFQ-0039,WO-2024-0045,Electrical Components,2024-02-14,2024-02-26,7,expedited,3802.18,,closed
RFQ-0040,WO-2024-0046,Electrical Components,2024-09-14,2024-10-03,7,standard,41700.38,,closed
RFQ-0041,WO-2024-0047,Mechanical Parts,2024-05-25,2024-06-04,8,expedited,216000.94,,closed
RFQ-0042,WO-2024-0048,Electrical Components,2025-01-23,2025-02-07,7,standard,18651.53,,closed
RFQ-0043,WO-2024-0049,Mechanical Parts,2025-01-31,2025-02-12,8,standard,79440.81,,closed
RFQ-0044,WO-2024-0050,Mechanical Parts,2024-06-02,2024-06-14,8,expedited,9531.81,,closed
RFQ-0045,WO-2024-0051,Mechanical Parts,2024-07-08,2024-07-18,8,standard,17707.0,,closed
RFQ-0046,WO-2024-0053,Mechanical Parts,2024-03-31,2024-04-09,8,expedited,1211.33,scenario_1,closed
RFQ-0047,WO-2024-0054,Raw Materials,2024-07-06,2024-07-16,8,expedited,40577.13,,closed
RFQ-0048,WO-2024-0055,Electrical Components,2024-11-16,2024-12-05,7,standard,174349.46,,closed
RFQ-0049,WO-2024-0056,Electrical Components,2024-05-31,2024-06-14,7,critical,163220.33,,closed
RFQ-0050,WO-2024-0057,Mechanical Parts,2024-02-09,2024-02-27,8,expedited,61672.34,,closed
RFQ-0051,WO-2024-0058,Electrical Components,2024-01-24,2024-02-05,7,standard,134856.15,,closed
RFQ-0052,WO-2024-0059,Electrical Components,2024-09-22,2024-10-10,7,standard,89908.47,,closed
RFQ-0053,WO-2024-0060,Electrical Components,2024-06-12,2024-06-26,7,standard,108487.78,,closed
RFQ-0054,WO-2024-0061,Electrical Components,2024-12-17,2025-01-01,7,expedited,16247.03,,closed
RFQ-0055,WO-2024-0062,Electrical Components,2024-11-27,2024-12-17,7,standard,33690.5,,closed
RFQ-0056,WO-2024-0063,Electrical Components,2024-06-18,2024-07-02,7,standard,84499.09,,closed
RFQ-0057,WO-2024-0064,Mechanical Parts,2024-06-05,2024-06-18,8,expedited,108308.36,,closed
RFQ-0058,WO-2024-0065,Electrical Components,2024-07-18,2024-07-29,7,standard,67462.74,,closed
RFQ-0059,WO-2024-0066,Mechanical Parts,2024-08-21,2024-09-10,8,standard,51943.2,,closed
RFQ-0060,WO-2024-0067,Mechanical Parts,2024-02-15,2024-02-27,8,standard,19663.33,,closed
RFQ-0061,WO-2024-0068,Electrical Components,2024-02-29,2024-03-13,7,standard,181236.26,,closed
RFQ-0062,WO-2024-0069,Electrical Components,2024-06-03,2024-06-19,7,expedited,164095.98,,closed
RFQ-0063,WO-2024-0071,Mechanical Parts,2024-10-23,2024-11-04,8,standard,69110.46,,closed
RFQ-0064,WO-2024-0072,Electrical Components,2024-05-21,2024-06-05,7,expedited,59028.44,,closed
RFQ-0065,WO-2024-0073,Electrical Components,2024-08-27,2024-09-09,7,standard,21500.4,,closed
RFQ-0066,WO-2024-0074,Electrical Components,2025-03-04,2025-03-21,7,standard,34729.49,,closed
RFQ-0067,WO-2024-0076,Electrical Components,2024-07-24,2024-08-13,7,standard,46719.16,,closed
RFQ-0068,WO-2024-0078,Electrical Components,2025-02-04,2025-02-24,7,standard,27670.93,,closed
RFQ-0069,WO-2024-0079,Mechanical Parts,2024-08-01,2024-08-15,8,standard,15567.72,,closed
RFQ-0070,WO-2024-0081,Mechanical Parts,2024-04-18,2024-05-06,8,critical,59236.58,,closed
RFQ-0071,WO-2024-0082,Electrical Components,2025-03-20,2025-04-04,7,standard,57771.18,,closed
RFQ-0072,WO-2024-0083,Raw Materials,2024-11-21,2024-12-02,8,standard,39225.48,,closed
RFQ-0073,WO-2024-0084,Raw Materials,2025-01-27,2025-02-12,8,expedited,16954.8,,closed
RFQ-0074,WO-2024-0085,Mechanical Parts,2024-03-04,2024-03-20,8,expedited,34093.08,scenario_1,closed
RFQ-0075,WO-2024-0086,Mechanical Parts,2025-01-20,2025-02-03,8,standard,18624.59,,closed
RFQ-0076,WO-2024-0087,Electrical Components,2024-10-26,2024-11-05,7,expedited,170045.06,,closed
RFQ-0077,WO-2024-0088,Electrical Components,2025-03-17,2025-03-31,7,standard,128182.6,,closed
RFQ-0078,WO-2024-0089,Electrical Components,2024-08-04,2024-08-14,7,expedited,92458.5,,closed
RFQ-0079,WO-2024-0090,Raw Materials,2024-07-27,2024-08-07,8,critical,52257.06,,closed
RFQ-0080,WO-2024-0091,Mechanical Parts,2025-02-03,2025-02-20,8,critical,51812.02,,closed
RFQ-0081,WO-2024-0092,Mechanical Parts,2024-05-05,2024-05-20,8,standard,38083.14,,closed
RFQ-0082,WO-2024-0093,Electrical Components,2024-11-26,2024-12-09,7,standard,1946.34,,closed
RFQ-0083,WO-2024-0094,Electrical Components,2025-04-22,2025-05-05,7,critical,66353.04,,closed
RFQ-0084,WO-2024-0095,Mechanical Parts,2024-03-05,2024-03-21,8,standard,18708.9,,closed
RFQ-0085,WO-2024-0096,Mechanical Parts,2025-03-08,2025-03-21,8,standard,12907.62,,closed
RFQ-0086,WO-2024-0097,Electrical Components,2024-07-28,2024-08-15,7,standard,57329.96,,closed
RFQ-0087,WO-2024-0098,Mechanical Parts,2024-10-29,2024-11-14,8,standard,25648.35,,closed
RFQ-0088,WO-2024-0099,Electrical Components,2025-03-04,2025-03-21,7,critical,17461.36,scenario_1,closed
RFQ-0089,WO-2024-0101,Electrical Components,2024-05-28,2024-06-11,7,standard,93599.82,,closed
RFQ-0090,WO-2024-0102,Electrical Components,2025-02-07,2025-02-20,7,critical,116468.56,,closed
RFQ-0091,WO-2024-0103,Mechanical Parts,2025-02-01,2025-02-12,8,standard,84214.89,,closed
RFQ-0092,WO-2024-0104,Raw Materials,2025-02-17,2025-02-27,8,expedited,4171.25,,closed
RFQ-0093,WO-2024-0105,Electrical Components,2024-10-19,2024-11-07,7,critical,31850.22,scenario_1,closed
RFQ-0094,WO-2024-0106,Mechanical Parts,2025-04-17,2025-05-07,8,expedited,21530.61,,closed
RFQ-0095,WO-2024-0107,Electrical Components,2024-02-11,2024-02-26,7,critical,133307.52,,closed
RFQ-0096,WO-2024-0108,Electrical Components,2025-04-25,2025-05-13,7,expedited,49648.69,scenario_1,closed
RFQ-0097,WO-2024-0109,Electrical Components,2024-07-23,2024-08-05,7,critical,124297.24,,closed
RFQ-0098,WO-2024-0110,Raw Materials,2024-06-29,2024-07-16,8,standard,60574.84,scenario_1,closed
RFQ-0099,WO-2024-0113,Electrical Components,2024-06-15,2024-06-26,7,standard,47772.46,,closed
RFQ-0100,WO-2024-0114,Electrical Components,2024-02-21,2024-03-12,7,critical,38033.85,scenario_1,closed
RFQ-0101,WO-2024-0115,Electrical Components,2024-05-05,2024-05-21,7,standard,10151.96,,closed
RFQ-0102,WO-2024-0116,Mechanical Parts,2024-06-03,2024-06-17,8,standard,14710.0,,closed
RFQ-0103,WO-2024-0118,Mechanical Parts,2024-05-16,2024-05-29,8,standard,51976.82,scenario_1,closed
RFQ-0104,WO-2024-0119,Electrical Components,2024-07-21,2024-07-30,7,standard,110586.18,scenario_1,closed
RFQ-0105,WO-2024-0121,Raw Materials,2024-11-03,2024-11-15,8,standard,13188.02,,closed
RFQ-0106,WO-2024-0122,Electrical Components,2024-11-18,2024-11-27,7,expedited,31343.49,,closed
RFQ-0107,WO-2024-0123,Electrical Components,2024-12-04,2024-12-24,7,standard,36835.39,,closed
RFQ-0108,WO-2024-0124,Raw Materials,2025-02-27,2025-03-12,8,standard,2530.32,,closed
RFQ-0109,WO-2024-0125,Electrical Components,2024-08-04,2024-08-19,7,standard,31500.0,,closed
RFQ-0110,WO-2024-0126,Electrical Components,2025-01-02,2025-01-14,7,standard,45100.18,,closed
RFQ-0111,WO-2024-0128,Mechanical Parts,2024-12-21,2025-01-03,8,expedited,33826.98,,closed
RFQ-0112,WO-2024-0129,Raw Materials,2025-03-20,2025-04-07,8,standard,60147.54,scenario_1,closed
RFQ-0113,WO-2024-0130,Electrical Components,2024-04-25,2024-05-08,7,standard,105619.17,,closed
RFQ-0114,WO-2024-0131,Mechanical Parts,2024-12-18,2024-12-27,8,standard,236003.03,,closed
RFQ-0115,WO-2024-0132,Mechanical Parts,2025-02-17,2025-03-04,8,expedited,76486.22,,closed
RFQ-0116,WO-2024-0133,Raw Materials,2025-02-24,2025-03-13,8,critical,63977.0,,closed
RFQ-0117,WO-2024-0134,Electrical Components,2024-04-07,2024-04-18,7,critical,5206.05,,closed
RFQ-0118,WO-2024-0135,Electrical Components,2025-04-08,2025-04-22,7,critical,73595.83,,closed
RFQ-0119,WO-2024-0136,Mechanical Parts,2024-10-29,2024-11-07,8,standard,87268.79,,closed
RFQ-0120,WO-2024-0138,Raw Materials,2024-11-23,2024-12-09,8,standard,91620.65,,closed
RFQ-0121,WO-2024-0139,Electrical Components,2024-08-14,2024-08-30,7,standard,36320.18,,closed
RFQ-0122,WO-2024-0140,Electrical Components,2024-04-29,2024-05-09,7,expedited,33191.21,,closed
RFQ-0123,WO-2024-0141,Electrical Components,2024-08-14,2024-08-26,7,standard,89740.51,,closed
RFQ-0124,WO-2024-0142,Raw Materials,2024-03-29,2024-04-10,8,expedited,49228.96,,closed
RFQ-0125,WO-2024-0143,Electrical Components,2024-01-29,2024-02-16,7,expedited,42751.52,scenario_1,closed
RFQ-0126,WO-2024-0144,Electrical Components,2024-03-14,2024-03-29,7,expedited,17034.66,,closed
RFQ-0127,WO-2024-0146,Raw Materials,2024-02-20,2024-03-05,8,standard,866.32,,closed
RFQ-0128,WO-2024-0147,Mechanical Parts,2024-01-30,2024-02-19,8,standard,15026.67,scenario_1,closed
RFQ-0129,WO-2024-0148,Electrical Components,2024-03-13,2024-04-01,7,standard,111540.74,,closed
RFQ-0130,WO-2024-0149,Raw Materials,2024-12-22,2024-12-31,8,expedited,75759.97,,closed
RFQ-0131,WO-2024-0150,Electrical Components,2024-07-07,2024-07-16,7,standard,12571.92,,closed
RFQ-0132,WO-2024-0152,Mechanical Parts,2024-10-14,2024-10-24,8,expedited,65381.32,,closed
RFQ-0133,WO-2024-0153,Mechanical Parts,2024-09-10,2024-09-24,8,standard,182460.45,,closed
RFQ-0134,WO-2024-0154,Electrical Components,2024-10-24,2024-11-04,7,standard,1515.15,,closed
RFQ-0135,WO-2024-0155,Mechanical Parts,2024-08-02,2024-08-13,8,standard,73347.53,,closed
RFQ-0136,WO-2024-0156,Raw Materials,2025-01-06,2025-01-16,8,expedited,68368.56,,closed
RFQ-0137,WO-2024-0157,Electrical Components,2025-02-28,2025-03-14,7,standard,7628.4,,closed
RFQ-0138,WO-2024-0158,Electrical Components,2024-04-11,2024-04-25,7,expedited,8078.84,,closed
RFQ-0139,WO-2024-0159,Electrical Components,2024-08-22,2024-09-02,7,expedited,46944.25,scenario_1,closed
RFQ-0140,WO-2024-0160,Electrical Components,2025-03-30,2025-04-10,7,expedited,30410.57,,closed
RFQ-0141,WO-2024-0161,Electrical Components,2025-04-26,2025-05-06,7,expedited,18686.62,,closed
RFQ-0142,WO-2024-0163,Raw Materials,2024-01-17,2024-01-31,8,standard,62662.45,,closed
RFQ-0143,WO-2024-0164,Electrical Components,2024-12-22,2025-01-03,7,expedited,42566.95,,closed
RFQ-0144,WO-2024-0166,Mechanical Parts,2024-10-12,2024-10-28,8,standard,505.85,,closed
RFQ-0145,WO-2024-0167,Electrical Components,2025-04-14,2025-04-28,7,expedited,32164.13,scenario_1,closed
RFQ-0146,WO-2024-0168,Mechanical Parts,2024-01-07,2024-01-16,8,expedited,166121.27,,closed
RFQ-0147,WO-2024-0169,Electrical Components,2024-04-27,2024-05-10,7,standard,37581.94,scenario_1,closed
RFQ-0148,WO-2024-0170,Electrical Components,2024-12-02,2024-12-20,7,expedited,186330.46,,closed
RFQ-0149,WO-2024-0171,Mechanical Parts,2024-01-24,2024-02-02,8,standard,20765.16,,closed
RFQ-0150,WO-2024-0173,Electrical Components,2024-11-29,2024-12-13,7,expedited,21899.82,,closed
RFQ-0151,WO-2024-0174,Raw Materials,2024-04-30,2024-05-20,8,expedited,51920.05,scenario_1,closed
RFQ-0152,WO-2024-0175,Mechanical Parts,2024-07-04,2024-07-17,8,expedited,1225.26,,closed
RFQ-0153,WO-2024-0176,Electrical Components,2025-02-26,2025-03-07,7,standard,65926.57,,closed
RFQ-0154,WO-2024-0177,Mechanical Parts,2025-05-04,2025-05-16,8,standard,118022.1,,closed
RFQ-0155,WO-2024-0178,Mechanical Parts,2024-04-06,2024-04-19,8,standard,40267.11,,closed
RFQ-0156,WO-2024-0179,Raw Materials,2024-06-21,2024-07-03,8,standard,22688.75,,closed
RFQ-0157,WO-2024-0181,Electrical Components,2025-02-04,2025-02-19,7,standard,106281.85,,closed
RFQ-0158,WO-2024-0182,Electrical Components,2025-03-14,2025-03-25,7,critical,8419.84,,closed
RFQ-0159,WO-2024-0183,Electrical Components,2024-10-09,2024-10-18,7,expedited,144649.78,,closed
RFQ-0160,WO-2024-0184,Raw Materials,2025-03-14,2025-04-03,8,expedited,41529.82,,closed
RFQ-0161,WO-2024-0185,Raw Materials,2024-09-27,2024-10-08,8,expedited,57243.49,,closed
RFQ-0162,WO-2024-0186,Electrical Components,2024-10-29,2024-11-07,7,standard,170014.08,,closed
RFQ-0163,WO-2024-0187,Raw Materials,2024-04-09,2024-04-25,8,standard,51378.26,scenario_1,closed
RFQ-0164,WO-2024-0188,Mechanical Parts,2024-08-01,2024-08-20,8,expedited,46087.52,,closed
RFQ-0165,WO-2024-0189,Electrical Components,2025-04-19,2025-05-02,7,standard,89987.19,,closed
RFQ-0166,WO-2024-0190,Raw Materials,2024-09-21,2024-10-02,8,expedited,100579.27,,closed
RFQ-0167,WO-2024-0191,Mechanical Parts,2025-03-19,2025-03-28,8,standard,24997.24,scenario_1,closed
RFQ-0168,WO-2024-0192,Electrical Components,2024-01-06,2024-01-17,7,standard,198999.53,,closed
RFQ-0169,WO-2024-0193,Electrical Components,2025-01-30,2025-02-18,7,standard,7392.77,,closed
RFQ-0170,WO-2024-0194,Electrical Components,2024-01-07,2024-01-17,7,expedited,55280.71,,closed
RFQ-0171,WO-2024-0195,Electrical Components,2024-03-24,2024-04-11,7,standard,163071.84,scenario_1,closed
RFQ-0172,WO-2024-0196,Raw Materials,2025-02-05,2025-02-19,8,expedited,24800.46,,closed
RFQ-0173,WO-2024-0197,Raw Materials,2024-06-27,2024-07-17,8,standard,60027.8,,closed
RFQ-0174,WO-2024-0198,Mechanical Parts,2024-07-26,2024-08-07,8,standard,31658.13,,closed
RFQ-0175,WO-2024-0199,Electrical Components,2024-09-22,2024-10-01,7,expedited,33563.42,,closed
