invite_id,rfq_id,vendor_id,vendor_name,invited_date,responded
RFQ-0001-INV-V009,RFQ-0001,V009,Fischer & Söhne KG,2025-04-23,True
RFQ-0001-INV-V024,RFQ-0001,V024,BalticTech UAB,2025-04-23,True
RFQ-0001-INV-V022,RFQ-0001,V022,Andean Precision SRL,2025-04-23,True
RFQ-0001-INV-V001,RFQ-0001,V001,Kovacs Precision GmbH,2025-04-23,True
RFQ-0001-INV-V007,RFQ-0001,V007,Nakamura Tooling Co.,2025-04-23,True
RFQ-0001-INV-V017,RFQ-0001,V017,Türk Makina A.Ş.,2025-04-23,True
RFQ-0001-INV-V004,RFQ-0001,V004,Strömberg Hydraulics AB,2025-04-23,True
RFQ-0001-INV-V019,RFQ-0001,V019,Emerald Isle Castings Ltd,2025-04-23,False
RFQ-0002-INV-V010,RFQ-0002,V010,Adriatic Fastenings d.o.o.,2024-08-21,False
RFQ-0002-INV-V019,RFQ-0002,V019,Emerald Isle Castings Ltd,2024-08-21,True
RFQ-0002-INV-V009,RFQ-0002,V009,Fischer & Söhne KG,2024-08-21,True
RFQ-0002-INV-V001,RFQ-0002,V001,Kovacs Precision GmbH,2024-08-21,True
RFQ-0002-INV-V024,RFQ-0002,V024,BalticTech UAB,2024-08-21,True
RFQ-0002-INV-V022,RFQ-0002,V022,Andean Precision SRL,2024-08-21,True
RFQ-0002-INV-V007,RFQ-0002,V007,Nakamura Tooling Co.,2024-08-21,True
RFQ-0002-INV-V004,RFQ-0002,V004,Strömberg Hydraulics AB,2024-08-21,True
RFQ-0003-INV-V016,RFQ-0003,V016,Precision Arc Systems,2025-01-07,True
RFQ-0003-INV-V013,RFQ-0003,V013,Vantage Sensors GmbH,2025-01-07,False
RFQ-0003-INV-V006,RFQ-0003,V006,Bright Spark Electronics Ltd,2025-01-07,True
RFQ-0003-INV-V018,RFQ-0003,V018,Guangzhou Mech & Elec Co.,2025-01-07,True
RFQ-0003-INV-V021,RFQ-0003,V021,Helios Micro Systems,2025-01-07,True
RFQ-0003-INV-V011,RFQ-0003,V011,Solaris Power Components,2025-01-07,True
RFQ-0003-INV-V002,RFQ-0003,V002,Tanaka Electrical KK,2025-01-07,True
RFQ-0004-INV-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,2024-05-05,True
RFQ-0004-INV-V021,RFQ-0004,V021,Helios Micro Systems,2024-05-05,False
RFQ-0004-INV-V006,RFQ-0004,V006,Bright Spark Electronics Ltd,2024-05-05,False
RFQ-0004-INV-V011,RFQ-0004,V011,Solaris Power Components,2024-05-05,False
RFQ-0004-INV-V013,RFQ-0004,V013,Vantage Sensors GmbH,2024-05-05,False
RFQ-0004-INV-V016,RFQ-0004,V016,Precision Arc Systems,2024-05-05,False
RFQ-0004-INV-V002,RFQ-0004,V002,Tanaka Electrical KK,2024-05-05,True
RFQ-0005-INV-V013,RFQ-0005,V013,Vantage Sensors GmbH,2024-01-31,True
RFQ-0005-INV-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2024-01-31,True
RFQ-0005-INV-V002,RFQ-0005,V002,Tanaka Electrical KK,2024-01-31,False
RFQ-0005-INV-V016,RFQ-0005,V016,Precision Arc Systems,2024-01-31,False
RFQ-0005-INV-V011,RFQ-0005,V011,Solaris Power Components,2024-01-31,True
RFQ-0005-INV-V021,RFQ-0005,V021,Helios Micro Systems,2024-01-31,True
RFQ-0005-INV-V006,RFQ-0005,V006,Bright Spark Electronics Ltd,2024-01-31,True
RFQ-0006-INV-V018,RFQ-0006,V018,Guangzhou Mech & Elec Co.,2024-03-06,False
RFQ-0006-INV-V013,RFQ-0006,V013,Vantage Sensors GmbH,2024-03-06,False
RFQ-0006-INV-V021,RFQ-0006,V021,Helios Micro Systems,2024-03-06,True
RFQ-0006-INV-V011,RFQ-0006,V011,Solaris Power Components,2024-03-06,True
RFQ-0006-INV-V002,RFQ-0006,V002,Tanaka Electrical KK,2024-03-06,False
RFQ-0006-INV-V016,RFQ-0006,V016,Precision Arc Systems,2024-03-06,False
RFQ-0006-INV-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,2024-03-06,True
RFQ-0007-INV-V002,RFQ-0007,V002,Tanaka Electrical KK,2024-09-21,True
RFQ-0007-INV-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,2024-09-21,True
RFQ-0007-INV-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,2024-09-21,True
RFQ-0007-INV-V021,RFQ-0007,V021,Helios Micro Systems,2024-09-21,True
RFQ-0007-INV-V016,RFQ-0007,V016,Precision Arc Systems,2024-09-21,True
RFQ-0007-INV-V011,RFQ-0007,V011,Solaris Power Components,2024-09-21,True
RFQ-0007-INV-V013,RFQ-0007,V013,Vantage Sensors GmbH,2024-09-21,True
RFQ-0008-INV-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,2025-03-03,True
RFQ-0008-INV-V013,RFQ-0008,V013,Vantage Sensors GmbH,2025-03-03,True
RFQ-0008-INV-V002,RFQ-0008,V002,Tanaka Electrical KK,2025-03-03,True
RFQ-0008-INV-V016,RFQ-0008,V016,Precision Arc Systems,2025-03-03,False
RFQ-0008-INV-V011,RFQ-0008,V011,Solaris Power Components,2025-03-03,False
RFQ-0008-INV-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,2025-03-03,True
RFQ-0008-INV-V021,RFQ-0008,V021,Helios Micro Systems,2025-03-03,False
RFQ-0009-INV-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,2025-02-05,True
RFQ-0009-INV-V021,RFQ-0009,V021,Helios Micro Systems,2025-02-05,False
RFQ-0009-INV-V013,RFQ-0009,V013,Vantage Sensors GmbH,2025-02-05,True
RFQ-0009-INV-V011,RFQ-0009,V011,Solaris Power Components,2025-02-05,True
RFQ-0009-INV-V002,RFQ-0009,V002,Tanaka Electrical KK,2025-02-05,False
RFQ-0009-INV-V016,RFQ-0009,V016,Precision Arc Systems,2025-02-05,True
RFQ-0009-INV-V006,RFQ-0009,V006,Bright Spark Electronics Ltd,2025-02-05,False
RFQ-0010-INV-V018,RFQ-0010,V018,Guangzhou Mech & Elec Co.,2024-12-17,True
RFQ-0010-INV-V006,RFQ-0010,V006,Bright Spark Electronics Ltd,2024-12-17,True
RFQ-0010-INV-V013,RFQ-0010,V013,Vantage Sensors GmbH,2024-12-17,False
RFQ-0010-INV-V011,RFQ-0010,V011,Solaris Power Components,2024-12-17,True
RFQ-0010-INV-V021,RFQ-0010,V021,Helios Micro Systems,2024-12-17,True
RFQ-0010-INV-V002,RFQ-0010,V002,Tanaka Electrical KK,2024-12-17,True
RFQ-0010-INV-V016,RFQ-0010,V016,Precision Arc Systems,2024-12-17,True
RFQ-0011-INV-V021,RFQ-0011,V021,Helios Micro Systems,2024-04-18,False
RFQ-0011-INV-V016,RFQ-0011,V016,Precision Arc Systems,2024-04-18,False
RFQ-0011-INV-V013,RFQ-0011,V013,Vantage Sensors GmbH,2024-04-18,False
RFQ-0011-INV-V006,RFQ-0011,V006,Bright Spark Electronics Ltd,2024-04-18,True
RFQ-0011-INV-V002,RFQ-0011,V002,Tanaka Electrical KK,2024-04-18,True
RFQ-0011-INV-V018,RFQ-0011,V018,Guangzhou Mech & Elec Co.,2024-04-18,True
RFQ-0011-INV-V011,RFQ-0011,V011,Solaris Power Components,2024-04-18,True
RFQ-0012-INV-V006,RFQ-0012,V006,Bright Spark Electronics Ltd,2025-01-07,True
RFQ-0012-INV-V011,RFQ-0012,V011,Solaris Power Components,2025-01-07,True
RFQ-0012-INV-V013,RFQ-0012,V013,Vantage Sensors GmbH,2025-01-07,True
RFQ-0012-INV-V002,RFQ-0012,V002,Tanaka Electrical KK,2025-01-07,True
RFQ-0012-INV-V018,RFQ-0012,V018,Guangzhou Mech & Elec Co.,2025-01-07,True
RFQ-0012-INV-V016,RFQ-0012,V016,Precision Arc Systems,2025-01-07,True
RFQ-0012-INV-V021,RFQ-0012,V021,Helios Micro Systems,2025-01-07,False
RFQ-0013-INV-V002,RFQ-0013,V002,Tanaka Electrical KK,2024-12-16,False
RFQ-0013-INV-V021,RFQ-0013,V021,Helios Micro Systems,2024-12-16,False
RFQ-0013-INV-V013,RFQ-0013,V013,Vantage Sensors GmbH,2024-12-16,False
RFQ-0013-INV-V016,RFQ-0013,V016,Precision Arc Systems,2024-12-16,False
RFQ-0013-INV-V011,RFQ-0013,V011,Solaris Power Components,2024-12-16,False
RFQ-0013-INV-V006,RFQ-0013,V006,Bright Spark Electronics Ltd,2024-12-16,False
RFQ-0013-INV-V018,RFQ-0013,V018,Guangzhou Mech & Elec Co.,2024-12-16,True
RFQ-0014-INV-V018,RFQ-0014,V018,Guangzhou Mech & Elec Co.,2024-12-25,True
RFQ-0014-INV-V016,RFQ-0014,V016,Precision Arc Systems,2024-12-25,True
RFQ-0014-INV-V002,RFQ-0014,V002,Tanaka Electrical KK,2024-12-25,True
RFQ-0014-INV-V006,RFQ-0014,V006,Bright Spark Electronics Ltd,2024-12-25,True
RFQ-0014-INV-V011,RFQ-0014,V011,Solaris Power Components,2024-12-25,True
RFQ-0014-INV-V021,RFQ-0014,V021,Helios Micro Systems,2024-12-25,False
RFQ-0014-INV-V013,RFQ-0014,V013,Vantage Sensors GmbH,2024-12-25,True
RFQ-0015-INV-V001,RFQ-0015,V001,Kovacs Precision GmbH,2024-08-03,True
RFQ-0015-INV-V024,RFQ-0015,V024,BalticTech UAB,2024-08-03,True
RFQ-0015-INV-V009,RFQ-0015,V009,Fischer & Söhne KG,2024-08-03,True
RFQ-0015-INV-V007,RFQ-0015,V007,Nakamura Tooling Co.,2024-08-03,True
RFQ-0015-INV-V010,RFQ-0015,V010,Adriatic Fastenings d.o.o.,2024-08-03,True
RFQ-0015-INV-V017,RFQ-0015,V017,Türk Makina A.Ş.,2024-08-03,False
RFQ-0015-INV-V019,RFQ-0015,V019,Emerald Isle Castings Ltd,2024-08-03,True
RFQ-0015-INV-V004,RFQ-0015,V004,Strömberg Hydraulics AB,2024-08-03,True
RFQ-0016-INV-V002,RFQ-0016,V002,Tanaka Electrical KK,2024-11-30,True
RFQ-0016-INV-V013,RFQ-0016,V013,Vantage Sensors GmbH,2024-11-30,True
RFQ-0016-INV-V021,RFQ-0016,V021,Helios Micro Systems,2024-11-30,False
RFQ-0016-INV-V011,RFQ-0016,V011,Solaris Power Components,2024-11-30,False
RFQ-0016-INV-V006,RFQ-0016,V006,Bright Spark Electronics Ltd,2024-11-30,True
RFQ-0016-INV-V018,RFQ-0016,V018,Guangzhou Mech & Elec Co.,2024-11-30,True
RFQ-0016-INV-V016,RFQ-0016,V016,Precision Arc Systems,2024-11-30,False
RFQ-0017-INV-V016,RFQ-0017,V016,Precision Arc Systems,2025-03-02,True
RFQ-0017-INV-V002,RFQ-0017,V002,Tanaka Electrical KK,2025-03-02,True
RFQ-0017-INV-V011,RFQ-0017,V011,Solaris Power Components,2025-03-02,True
RFQ-0017-INV-V013,RFQ-0017,V013,Vantage Sensors GmbH,2025-03-02,True
RFQ-0017-INV-V006,RFQ-0017,V006,Bright Spark Electronics Ltd,2025-03-02,True
RFQ-0017-INV-V018,RFQ-0017,V018,Guangzhou Mech & Elec Co.,2025-03-02,True
RFQ-0017-INV-V021,RFQ-0017,V021,Helios Micro Systems,2025-03-02,True
RFQ-0018-INV-V004,RFQ-0018,V004,Strömberg Hydraulics AB,2024-12-22,True
RFQ-0018-INV-V001,RFQ-0018,V001,Kovacs Precision GmbH,2024-12-22,True
