bid_id,rfq_id,vendor_id,vendor_name,bid_date,bid_unit_price,bid_total_usd,delivery_days,validity_days,price_delta_pct,archetype
BID-RFQ-0001-V009,RFQ-0001,V009,Fischer & Söhne KG,2025-05-12,269.91,33738.75,53,30,-0.37,relationship_focused
BID-RFQ-0001-V024,RFQ-0001,V024,BalticTech UAB,2025-05-09,267.69,33461.25,21,30,-1.19,reliable
BID-RFQ-0001-V022,RFQ-0001,V022,Andean Precision SRL,2025-05-09,242.76,30345.0,14,30,-10.39,aggressive_bidder
BID-RFQ-0001-V001,RFQ-0001,V001,Kovacs Precision GmbH,2025-05-10,265.1,33137.5,35,30,-2.15,reliable
BID-RFQ-0001-V007,RFQ-0001,V007,Nakamura Tooling Co.,2025-05-11,268.42,33552.5,53,30,-0.92,conservative
BID-RFQ-0001-V017,RFQ-0001,V017,Türk Makina A.Ş.,2025-05-09,252.32,31540.0,31,30,-6.87,aggressive_bidder
BID-RFQ-0001-V004,RFQ-0001,V004,Strömberg Hydraulics AB,2025-05-12,267.34,33417.5,45,30,-1.32,reliable
BID-RFQ-0002-V019,RFQ-0002,V019,Emerald Isle Castings Ltd,2024-09-01,186.44,42321.88,33,30,0.28,conservative
BID-RFQ-0002-V009,RFQ-0002,V009,Fischer & Söhne KG,2024-09-01,173.86,39466.22,25,30,-6.49,relationship_focused
BID-RFQ-0002-V001,RFQ-0002,V001,Kovacs Precision GmbH,2024-09-03,184.64,41913.28,52,30,-0.69,reliable
BID-RFQ-0002-V024,RFQ-0002,V024,BalticTech UAB,2024-09-01,188.65,42823.55,53,30,1.47,reliable
BID-RFQ-0002-V022,RFQ-0002,V022,Andean Precision SRL,2024-09-02,168.21,38183.67,28,30,-9.53,aggressive_bidder
BID-RFQ-0002-V007,RFQ-0002,V007,Nakamura Tooling Co.,2024-09-03,190.81,43313.87,43,30,2.63,conservative
BID-RFQ-0002-V004,RFQ-0002,V004,Strömberg Hydraulics AB,2024-09-01,182.61,41452.47,39,30,-1.78,reliable
BID-RFQ-0003-V016,RFQ-0003,V016,Precision Arc Systems,2025-01-18,22.79,4421.26,28,30,2.92,volatile
BID-RFQ-0003-V006,RFQ-0003,V006,Bright Spark Electronics Ltd,2025-01-18,21.34,4139.96,20,30,-3.61,volatile
BID-RFQ-0003-V018,RFQ-0003,V018,Guangzhou Mech & Elec Co.,2025-01-17,20.6,3996.4,14,30,-6.96,aggressive_bidder
BID-RFQ-0003-V021,RFQ-0003,V021,Helios Micro Systems,2025-01-20,23.17,4494.98,15,30,4.63,conservative
BID-RFQ-0003-V011,RFQ-0003,V011,Solaris Power Components,2025-01-17,19.72,3825.68,47,30,-10.93,volatile
BID-RFQ-0003-V002,RFQ-0003,V002,Tanaka Electrical KK,2025-01-19,23.26,4512.44,29,30,5.04,conservative
BID-RFQ-0004-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,2024-05-14,375.68,175442.56,25,30,-5.81,aggressive_bidder
BID-RFQ-0004-V002,RFQ-0004,V002,Tanaka Electrical KK,2024-05-12,418.86,195607.62,42,30,5.01,conservative
BID-RFQ-0005-V013,RFQ-0005,V013,Vantage Sensors GmbH,2024-02-16,685.61,79530.76,18,30,-0.0,conservative
BID-RFQ-0005-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2024-02-14,638.98,74121.68,46,30,-6.8,aggressive_bidder
BID-RFQ-0005-V011,RFQ-0005,V011,Solaris Power Components,2024-02-15,776.54,90078.64,37,30,13.26,volatile
BID-RFQ-0005-V021,RFQ-0005,V021,Helios Micro Systems,2024-02-14,699.03,81087.48,28,30,1.95,conservative
BID-RFQ-0005-V006,RFQ-0005,V006,Bright Spark Electronics Ltd,2024-02-13,717.04,83176.64,18,30,4.58,volatile
BID-RFQ-0006-V021,RFQ-0006,V021,Helios Micro Systems,2024-03-18,1061.0,193102.0,41,30,5.14,conservative
BID-RFQ-0006-V011,RFQ-0006,V011,Solaris Power Components,2024-03-20,993.75,180862.5,33,30,-1.53,volatile
