eval_id,rfq_id,vendor_id,vendor_name,price_score,delivery_score,quality_score,relationship_score,composite_score,selected
EVAL-RFQ-0001-V001,RFQ-0001,V001,Kovacs Precision GmbH,1.78,40.0,88.0,100.0,40.31,True
EVAL-RFQ-0001-V022,RFQ-0001,V022,Andean Precision SRL,10.06,100.0,0.0,40.0,38.02,True
EVAL-RFQ-0001-V017,RFQ-0001,V017,Türk Makina A.Ş.,6.52,45.16,68.0,75.0,37.26,True
EVAL-RFQ-0001-V009,RFQ-0001,V009,Fischer & Söhne KG,0.0,26.42,82.0,100.0,34.32,True
EVAL-RFQ-0001-V004,RFQ-0001,V004,Strömberg Hydraulics AB,0.95,31.11,71.0,89.0,32.81,True
EVAL-RFQ-0001-V007,RFQ-0001,V007,Nakamura Tooling Co.,0.55,26.42,68.0,75.0,29.25,False
EVAL-RFQ-0001-V024,RFQ-0001,V024,BalticTech UAB,0.82,66.67,0.0,40.0,24.33,False
EVAL-RFQ-0002-V009,RFQ-0002,V009,Fischer & Söhne KG,8.88,100.0,82.0,100.0,59.95,True
EVAL-RFQ-0002-V019,RFQ-0002,V019,Emerald Isle Castings Ltd,2.29,75.76,80.0,100.0,49.64,True
EVAL-RFQ-0002-V004,RFQ-0002,V004,Strömberg Hydraulics AB,4.3,64.1,71.0,89.0,44.05,True
EVAL-RFQ-0002-V001,RFQ-0002,V001,Kovacs Precision GmbH,3.23,48.08,88.0,100.0,43.32,True
EVAL-RFQ-0002-V007,RFQ-0002,V007,Nakamura Tooling Co.,0.0,58.14,68.0,75.0,38.54,True
EVAL-RFQ-0002-V022,RFQ-0002,V022,Andean Precision SRL,11.84,89.29,0.0,40.0,35.52,False
EVAL-RFQ-0002-V024,RFQ-0002,V024,BalticTech UAB,1.13,47.17,0.0,40.0,18.6,False
EVAL-RFQ-0003-V018,RFQ-0003,V018,Guangzhou Mech & Elec Co.,11.44,100.0,76.0,100.0,59.77,True
EVAL-RFQ-0003-V006,RFQ-0003,V006,Bright Spark Electronics Ltd,8.25,70.0,85.0,100.0,51.3,True
EVAL-RFQ-0003-V016,RFQ-0003,V016,Precision Arc Systems,2.02,50.0,82.0,100.0,42.21,True
EVAL-RFQ-0003-V011,RFQ-0003,V011,Solaris Power Components,15.22,29.79,84.0,100.0,41.82,True
EVAL-RFQ-0003-V002,RFQ-0003,V002,Tanaka Electrical KK,0.0,48.28,85.0,54.0,36.88,True
EVAL-RFQ-0003-V021,RFQ-0003,V021,Helios Micro Systems,0.39,93.33,0.0,40.0,32.15,False
EVAL-RFQ-0004-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,10.31,100.0,76.0,100.0,59.32,True
EVAL-RFQ-0004-V002,RFQ-0004,V002,Tanaka Electrical KK,0.0,59.52,85.0,54.0,40.26,True
EVAL-RFQ-0005-V006,RFQ-0005,V006,Bright Spark Electronics Ltd,7.66,100.0,85.0,100.0,60.06,True
EVAL-RFQ-0005-V013,RFQ-0005,V013,Vantage Sensors GmbH,11.71,100.0,92.0,68.0,59.88,True
EVAL-RFQ-0005-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,17.71,39.13,76.0,100.0,44.02,True
EVAL-RFQ-0005-V011,RFQ-0005,V011,Solaris Power Components,0.0,48.65,84.0,100.0,41.39,True
EVAL-RFQ-0005-V021,RFQ-0005,V021,Helios Micro Systems,9.98,64.29,0.0,40.0,27.28,True
EVAL-RFQ-0006-V011,RFQ-0006,V011,Solaris Power Components,13.13,100.0,84.0,100.0,62.05,True
EVAL-RFQ-0006-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,0.0,66.0,85.0,100.0,46.8,True
