po_id,rfq_id,vendor_id,vendor_name,po_date,po_value_usd,promised_delivery,payment_terms,status
PO-RFQ-0001-V001,RFQ-0001,V001,Kovacs Precision GmbH,2026-01-13,33137.5,2026-02-17,Net30,pending
PO-RFQ-0001-V022,RFQ-0001,V022,Andean Precision SRL,2025-07-25,30345.0,2025-08-08,Net30,in_transit
PO-RFQ-0001-V017,RFQ-0001,V017,Türk Makina A.Ş.,2025-12-07,31540.0,2026-01-07,Net30,delivered
PO-RFQ-0001-V009,RFQ-0001,V009,Fischer & Söhne KG,2026-01-25,33738.75,2026-03-19,Net60,cancelled
PO-RFQ-0001-V004,RFQ-0001,V004,Strömberg Hydraulics AB,2025-11-26,33417.5,2026-01-10,Net30,cancelled
PO-RFQ-0002-V009,RFQ-0002,V009,Fischer & Söhne KG,2026-03-03,39466.22,2026-03-28,Net30,cancelled
PO-RFQ-0002-V019,RFQ-0002,V019,Emerald Isle Castings Ltd,2025-11-23,42321.88,2025-12-26,Net60,cancelled
PO-RFQ-0002-V004,RFQ-0002,V004,Strömberg Hydraulics AB,2025-12-08,41452.47,2026-01-16,Net30,in_transit
PO-RFQ-0002-V001,RFQ-0002,V001,Kovacs Precision GmbH,2025-12-09,41913.28,2026-01-30,Net30,pending
PO-RFQ-0002-V007,RFQ-0002,V007,Nakamura Tooling Co.,2026-02-21,43313.87,2026-04-05,Net30,in_transit
PO-RFQ-0003-V018,RFQ-0003,V018,Guangzhou Mech & Elec Co.,2026-01-10,3996.4,2026-01-24,Net45,in_transit
PO-RFQ-0003-V006,RFQ-0003,V006,Bright Spark Electronics Ltd,2026-04-24,4139.96,2026-05-14,Net60,cancelled
PO-RFQ-0003-V016,RFQ-0003,V016,Precision Arc Systems,2025-10-03,4421.26,2025-10-31,Net45,delivered
PO-RFQ-0003-V011,RFQ-0003,V011,Solaris Power Components,2025-12-27,3825.68,2026-02-12,Net60,cancelled
PO-RFQ-0003-V002,RFQ-0003,V002,Tanaka Electrical KK,2026-03-06,4512.44,2026-04-04,Net60,delivered
PO-RFQ-0004-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,2025-11-01,175442.56,2025-11-26,Net45,in_transit
PO-RFQ-0004-V002,RFQ-0004,V002,Tanaka Electrical KK,2026-05-07,195607.62,2026-06-18,Net30,cancelled
PO-RFQ-0005-V006,RFQ-0005,V006,Bright Spark Electronics Ltd,2025-11-04,83176.64,2025-11-22,Net30,delivered
PO-RFQ-0005-V013,RFQ-0005,V013,Vantage Sensors GmbH,2025-09-22,79530.76,2025-10-10,Net60,cancelled
PO-RFQ-0005-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2025-10-12,74121.68,2025-11-27,Net30,cancelled
PO-RFQ-0005-V011,RFQ-0005,V011,Solaris Power Components,2025-11-20,90078.64,2025-12-27,Net45,in_transit
PO-RFQ-0005-V021,RFQ-0005,V021,Helios Micro Systems,2025-12-12,81087.48,2026-01-09,Net30,pending
PO-RFQ-0006-V011,RFQ-0006,V011,Solaris Power Components,2026-01-03,180862.5,2026-02-05,Net45,cancelled
PO-RFQ-0006-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,2025-12-29,208187.98,2026-02-17,Net30,in_transit
PO-RFQ-0006-V021,RFQ-0006,V021,Helios Micro Systems,2025-11-28,193102.0,2026-01-08,Net30,delivered
PO-RFQ-0007-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,2026-01-30,150206.96,2026-02-13,Net45,pending
PO-RFQ-0007-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,2025-10-14,133879.4,2025-10-30,Net30,delivered
PO-RFQ-0007-V016,RFQ-0007,V016,Precision Arc Systems,2026-04-13,154009.72,2026-05-08,Net45,cancelled
PO-RFQ-0007-V011,RFQ-0007,V011,Solaris Power Components,2025-08-29,145534.88,2025-10-21,Net30,in_transit
PO-RFQ-0007-V002,RFQ-0007,V002,Tanaka Electrical KK,2026-04-02,158381.04,2026-04-30,Net45,pending
PO-RFQ-0008-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,2026-04-08,32989.2,2026-04-26,Net30,cancelled
PO-RFQ-0008-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,2026-03-26,37091.76,2026-04-15,Net60,in_transit
