delivery_id,po_id,vendor_id,promised_date,actual_date,days_late,on_time,condition,quality_issue,invoice_value_usd
DEL-PO-RFQ-0001-V022,PO-RFQ-0001-V022,V022,2025-08-08,2025-08-17,9,False,accepted,False,30557.36
DEL-PO-RFQ-0001-V017,PO-RFQ-0001-V017,V017,2026-01-07,2026-01-07,0,True,accepted,True,31302.66
DEL-PO-RFQ-0002-V004,PO-RFQ-0002-V004,V004,2026-01-16,2026-01-21,5,False,accepted,False,41824.79
DEL-PO-RFQ-0002-V007,PO-RFQ-0002-V007,V007,2026-04-05,2026-04-05,0,True,rejected,False,42521.95
DEL-PO-RFQ-0003-V018,PO-RFQ-0003-V018,V018,2026-01-24,2026-02-14,21,False,accepted,False,4032.74
DEL-PO-RFQ-0003-V016,PO-RFQ-0003-V016,V016,2025-10-31,2025-10-31,0,True,accepted,False,4386.13
DEL-PO-RFQ-0003-V002,PO-RFQ-0003-V002,V002,2026-04-04,2026-04-04,0,True,accepted,True,4544.05
DEL-PO-RFQ-0004-V018,PO-RFQ-0004-V018,V018,2025-11-26,2025-11-26,0,True,rejected,False,176123.97
DEL-PO-RFQ-0005-V006,PO-RFQ-0005-V006,V006,2025-11-22,2025-11-22,0,True,accepted,False,82558.47
DEL-PO-RFQ-0005-V011,PO-RFQ-0005-V011,V011,2025-12-27,2025-12-27,0,True,rejected,False,88907.53
DEL-PO-RFQ-0006-V006,PO-RFQ-0006-V006,V006,2026-02-17,2026-02-17,0,True,accepted,False,209850.0
DEL-PO-RFQ-0006-V021,PO-RFQ-0006-V021,V021,2026-01-08,2026-01-09,1,False,accepted,False,188144.5
DEL-PO-RFQ-0007-V018,PO-RFQ-0007-V018,V018,2025-10-30,2025-10-30,0,True,accepted,False,132585.99
DEL-PO-RFQ-0007-V011,PO-RFQ-0007-V011,V011,2025-10-21,2025-10-21,0,True,accepted,True,142129.69
DEL-PO-RFQ-0008-V006,PO-RFQ-0008-V006,V006,2026-04-15,2026-04-15,0,True,accepted,False,36993.64
DEL-PO-RFQ-0008-V002,PO-RFQ-0008-V002,V002,2026-05-12,2026-05-13,1,False,accepted,False,36676.39
DEL-PO-RFQ-0009-V018,PO-RFQ-0009-V018,V018,2025-09-09,2025-09-09,0,True,accepted,False,7364.04
DEL-PO-RFQ-0009-V013,PO-RFQ-0009-V013,V013,2026-02-26,2026-02-26,0,True,accepted,False,8220.96
DEL-PO-RFQ-0009-V011,PO-RFQ-0009-V011,V011,2026-03-14,2026-03-14,0,True,accepted,False,8026.17
DEL-PO-RFQ-0010-V018,PO-RFQ-0010-V018,V018,2025-10-07,2025-10-07,0,True,accepted,False,3808.56
DEL-PO-RFQ-0011-V006,PO-RFQ-0011-V006,V006,2025-10-22,2025-10-22,0,True,accepted,False,39033.6
