dispute_id,po_id,vendor_id,dispute_date,reason,claimed_usd,resolved,resolution
DISP-DEL-PO-RFQ-0001-V022,PO-RFQ-0001-V022,V022,2025-08-17,late_delivery,5005.53,False,penalty_deducted
DISP-DEL-PO-RFQ-0011-V011,PO-RFQ-0011-V011,V011,2026-05-12,late_delivery,3874.48,True,rejected_claim
DISP-DEL-PO-RFQ-0018-V004,PO-RFQ-0018-V004,V004,2026-02-16,quality_rejection,5339.37,True,rejected_claim
DISP-DEL-PO-RFQ-0035-V021,PO-RFQ-0035-V021,V021,2026-06-04,late_delivery,1676.08,True,replacement
DISP-DEL-PO-RFQ-0038-V019,PO-RFQ-0038-V019,V019,2026-04-23,quality_rejection,693.34,False,rejected_claim
DISP-DEL-PO-RFQ-0042-V021,PO-RFQ-0042-V021,V021,2026-06-02,late_delivery,3417.31,False,penalty_deducted
DISP-DEL-PO-RFQ-0043-V004,PO-RFQ-0043-V004,V004,2026-02-27,late_delivery,15095.57,True,rejected_claim
DISP-DEL-PO-RFQ-0050-V007,PO-RFQ-0050-V007,V007,2025-10-31,late_delivery,6495.4,True,penalty_deducted
DISP-DEL-PO-RFQ-0073-V015,PO-RFQ-0073-V015,V015,2026-02-16,quality_rejection,3158.33,False,penalty_deducted
DISP-DEL-PO-RFQ-0079-V020,PO-RFQ-0079-V020,V020,2026-03-18,quality_rejection,9187.49,False,penalty_deducted
DISP-DEL-PO-RFQ-0091-V024,PO-RFQ-0091-V024,V024,2026-03-09,late_delivery,9364.46,False,credit_note
DISP-DEL-PO-RFQ-0101-V013,PO-RFQ-0101-V013,V013,2025-10-30,late_delivery,1532.07,True,rejected_claim
DISP-DEL-PO-RFQ-0104-V018,PO-RFQ-0104-V018,V018,2026-07-06,late_delivery,13213.24,True,credit_note
DISP-DEL-PO-RFQ-0105-V012,PO-RFQ-0105-V012,V012,2025-12-30,quality_rejection,783.83,False,rejected_claim
DISP-DEL-PO-RFQ-0108-V005,PO-RFQ-0108-V005,V005,2026-01-21,late_delivery,451.86,True,replacement
DISP-DEL-PO-RFQ-0110-V021,PO-RFQ-0110-V021,V021,2025-12-03,late_delivery,4476.07,False,penalty_deducted
DISP-DEL-PO-RFQ-0115-V019,PO-RFQ-0115-V019,V019,2026-03-25,late_delivery,13880.85,True,rejected_claim
DISP-DEL-PO-RFQ-0126-V016,PO-RFQ-0126-V016,V016,2026-03-09,quality_rejection,1348.75,True,penalty_deducted
DISP-DEL-PO-RFQ-0129-V018,PO-RFQ-0129-V018,V018,2026-03-23,quality_rejection,8767.73,True,penalty_deducted
DISP-DEL-PO-RFQ-0139-V021,PO-RFQ-0139-V021,V021,2026-01-15,late_delivery,3058.3,True,replacement
DISP-DEL-PO-RFQ-0141-V011,PO-RFQ-0141-V011,V011,2026-03-25,late_delivery,1836.44,True,credit_note
DISP-DEL-PO-RFQ-0149-V009,PO-RFQ-0149-V009,V009,2025-08-28,quality_rejection,1363.34,True,penalty_deducted
DISP-DEL-PO-RFQ-0171-V006,PO-RFQ-0171-V006,V006,2026-01-22,late_delivery,16538.37,True,replacement
DISP-DEL-PO-RFQ-0178-V020,PO-RFQ-0178-V020,V020,2025-09-12,late_delivery,10.53,True,rejected_claim
DISP-DEL-PO-RFQ-0180-V019,PO-RFQ-0180-V019,V019,2026-03-28,late_delivery,1106.53,False,penalty_deducted
