week_start,commodity,unit,categories,price,base_price,shock_premium_pct,shock_flag
2024-01-01,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,689.668,680.0,0.0,0
2024-01-08,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,688.526,681.224,0.0,0
2024-01-15,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,700.914,682.45,0.0,0
2024-01-22,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,728.863,683.679,0.0,0
2024-01-29,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,725.908,684.909,0.0,0
2024-02-05,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,722.966,686.142,0.0,0
2024-02-12,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,752.81,687.377,0.0,0
2024-02-19,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,768.609,688.614,0.0,0
2024-02-26,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,760.971,689.854,0.0,0
2024-03-04,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,772.663,691.096,0.0,0
2024-03-11,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,765.102,692.34,0.0,0
2024-03-18,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,757.571,693.586,0.0,0
2024-03-25,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,763.517,694.834,0.0,0
2024-04-01,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,728.371,696.085,0.0,0
2024-04-08,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,698.272,697.338,0.0,0
2024-04-15,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,689.714,698.593,0.0,0
2024-04-22,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,673.491,699.851,0.0,0
2024-04-29,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,679.994,701.11,0.0,0
2024-05-06,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,665.782,702.372,0.0,0
2024-05-13,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,688.516,703.637,7.0,1
2024-05-20,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,712.06,704.903,6.56,1
2024-05-27,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,706.411,706.172,6.13,1
2024-06-03,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,705.952,707.443,5.69,1
2024-06-10,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,679.255,708.716,5.25,1
2024-06-17,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,668.443,709.992,4.81,1
2024-06-24,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,668.697,711.27,4.37,1
2024-07-01,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,647.931,712.55,3.94,1
2024-07-08,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,683.944,713.833,8.5,1
2024-07-15,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,670.239,715.118,7.75,1
2024-07-22,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,661.919,716.405,7.0,1
2024-07-29,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,648.575,717.695,6.25,1
2024-08-05,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,674.977,718.987,5.5,1
2024-08-12,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,671.159,720.281,4.75,1
2024-08-19,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,649.933,721.577,4.0,1
2024-08-26,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,659.676,722.876,3.25,1
2024-09-02,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,710.542,724.177,14.5,1
2024-09-09,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,708.892,725.481,13.44,1
2024-09-16,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,669.112,726.787,12.38,1
2024-09-23,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,641.971,728.095,11.31,1
2024-09-30,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,640.117,729.405,10.25,1
2024-10-07,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,646.793,730.718,9.19,1
2024-10-14,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,680.154,732.034,14.13,1
2024-10-21,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,670.854,733.351,12.69,1
2024-10-28,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,658.503,734.671,11.25,1
2024-11-04,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,628.923,735.994,10.13,1
2024-11-11,Steel HR Coil,USD/MT,Mechanical Parts|Raw Materials,612.416,737.319,9.0,1
