sales_order_id,customer,customer_country,order_date,delivery_deadline,urgency_level,total_value_usd,month_index
SO-2024-0001,BHEL,India,2024-01-19,2024-03-27,standard,223516.34,0
SO-2024-0002,BHEL,India,2024-01-18,2024-03-18,standard,104062.28,0
SO-2024-0003,Rolls-Royce PLC,UK,2024-01-15,2024-03-13,standard,11299.24,0
SO-2024-0004,Tata Advanced Systems,India,2024-01-25,2024-04-04,standard,104005.18,0
SO-2024-0005,Rolls-Royce PLC,UK,2024-01-08,2024-03-07,standard,2185.16,0
SO-2024-0006,Tata Advanced Systems,India,2024-01-16,2024-03-26,standard,39400.46,0
SO-2024-0007,Rolls-Royce PLC,UK,2024-01-22,2024-03-27,standard,22591.4,0
SO-2024-0008,Mitsubishi Heavy,Japan,2024-01-28,2024-02-19,critical,23323.52,0
SO-2024-0009,Bombardier Inc.,Canada,2024-01-19,2024-02-14,critical,2167.23,0
SO-2024-0010,GE Aviation,USA,2024-01-02,2024-01-18,critical,5317.92,0
SO-2024-0011,Embraer S.A.,Brazil,2024-01-05,2024-03-13,standard,28868.22,0
SO-2024-0012,Hexagon AG,Germany,2024-02-18,2024-03-19,expedited,2764.19,1
SO-2024-0013,Embraer S.A.,Brazil,2024-02-29,2024-03-15,critical,47060.38,1
SO-2024-0014,Bombardier Inc.,Canada,2024-02-18,2024-03-13,critical,3667.02,1
SO-2024-0015,Airbus SE,France,2024-02-28,2024-05-08,standard,89381.68,1
SO-2024-0016,Mitsubishi Heavy,Japan,2024-02-19,2024-03-08,critical,41626.39,1
SO-2024-0017,Mitsubishi Heavy,Japan,2024-02-20,2024-04-19,standard,37372.14,1
SO-2024-0018,Embraer S.A.,Brazil,2024-02-06,2024-04-15,standard,88630.93,1
SO-2024-0019,Rolls-Royce PLC,UK,2024-02-23,2024-04-02,expedited,52774.78,1
SO-2024-0020,Siemens Energy,Germany,2024-02-02,2024-03-05,expedited,56011.31,1
SO-2024-0021,Bombardier Inc.,Canada,2024-02-18,2024-03-04,critical,28566.94,1
SO-2024-0022,Embraer S.A.,Brazil,2024-02-22,2024-03-26,expedited,40806.49,1
SO-2024-0023,Tata Advanced Systems,India,2024-03-11,2024-04-18,expedited,4913.12,2
SO-2024-0024,GE Aviation,USA,2024-03-27,2024-05-29,standard,125151.91,2
SO-2024-0025,Volkswagen AG,Germany,2024-03-22,2024-05-31,standard,42761.3,2
SO-2024-0026,Siemens Energy,Germany,2024-03-17,2024-04-17,expedited,40541.84,2
SO-2024-0027,Mitsubishi Heavy,Japan,2024-03-30,2024-04-22,critical,164506.36,2
