so_line_id,sales_order_id,line_no,material_code,description,category,quantity,unit,unit_price_usd,line_value_usd
SO-2024-0001-L01,SO-2024-0001,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,16,pcs,108.41,1734.56
SO-2024-0001-L02,SO-2024-0001,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,115,pcs,1682.89,193532.35
SO-2024-0001-L03,SO-2024-0001,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,85,pcs,218.0,18530.0
SO-2024-0001-L04,SO-2024-0001,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,92,pcs,33.91,3119.72
SO-2024-0001-L05,SO-2024-0001,5,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,13,pcs,370.78,4820.14
SO-2024-0001-L06,SO-2024-0001,6,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,81,pcs,21.97,1779.57
SO-2024-0002-L01,SO-2024-0002,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,101,MT,714.01,72115.01
SO-2024-0002-L02,SO-2024-0002,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,87,pcs,367.21,31947.27
SO-2024-0003-L01,SO-2024-0003,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,18,pcs,409.64,7373.52
SO-2024-0003-L02,SO-2024-0003,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,43,m,24.73,1063.39
SO-2024-0003-L03,SO-2024-0003,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,69,pcs,36.53,2520.57
SO-2024-0003-L04,SO-2024-0003,4,RAW-4405,HDPE Rod 50mm dia,Raw Materials,24,m,14.24,341.76
SO-2024-0004-L01,SO-2024-0004,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,67,pcs,95.68,6410.56
SO-2024-0004-L02,SO-2024-0004,2,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,51,pcs,1913.62,97594.62
SO-2024-0005-L01,SO-2024-0005,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,109,kg,2.96,322.64
SO-2024-0005-L02,SO-2024-0005,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,102,pcs,18.26,1862.52
SO-2024-0006-L01,SO-2024-0006,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,59,kg,4.74,279.66
SO-2024-0006-L02,SO-2024-0006,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,74,pcs,400.42,29631.08
SO-2024-0006-L03,SO-2024-0006,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,93,pcs,102.04,9489.72
SO-2024-0007-L01,SO-2024-0007,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,33,m,12.38,408.54
SO-2024-0007-L02,SO-2024-0007,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,7,pcs,387.06,2709.42
SO-2024-0007-L03,SO-2024-0007,3,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,34,pcs,18.71,636.14
SO-2024-0007-L04,SO-2024-0007,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,5,pcs,147.48,737.4
SO-2024-0007-L05,SO-2024-0007,5,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,85,pcs,212.94,18099.9
SO-2024-0008-L01,SO-2024-0008,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,40,pcs,393.52,15740.8
SO-2024-0008-L02,SO-2024-0008,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,32,pcs,236.96,7582.72
SO-2024-0009-L01,SO-2024-0009,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,57,m,19.52,1112.64
SO-2024-0009-L02,SO-2024-0009,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,17,pcs,19.27,327.59
SO-2024-0009-L03,SO-2024-0009,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,50,m,14.54,727.0
SO-2024-0010-L01,SO-2024-0010,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,48,pcs,109.62,5261.76
SO-2024-0010-L02,SO-2024-0010,2,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,18,kg,3.12,56.16
SO-2024-0011-L01,SO-2024-0011,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,116,kg,4.68,542.88
SO-2024-0011-L02,SO-2024-0011,2,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,61,pcs,20.46,1248.06
SO-2024-0011-L03,SO-2024-0011,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,114,pcs,237.52,27077.28
SO-2024-0012-L01,SO-2024-0012,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,113,m,13.42,1516.46
SO-2024-0012-L02,SO-2024-0012,2,RAW-4403,Copper Busbar 40×4mm,Raw Materials,57,m,21.89,1247.73
SO-2024-0013-L01,SO-2024-0013,1,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,38,pcs,113.02,4294.76
SO-2024-0013-L02,SO-2024-0013,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,105,pcs,398.2,41811.0
SO-2024-0013-L03,SO-2024-0013,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,59,m,16.18,954.62
SO-2024-0014-L01,SO-2024-0014,1,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,12,pcs,238.96,2867.52
SO-2024-0014-L02,SO-2024-0014,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,74,kg,3.3,244.2
SO-2024-0014-L03,SO-2024-0014,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,45,m,12.34,555.3
SO-2024-0015-L01,SO-2024-0015,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,113,pcs,387.43,43779.59
SO-2024-0015-L02,SO-2024-0015,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,81,pcs,345.44,27980.64
SO-2024-0015-L03,SO-2024-0015,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,115,pcs,153.23,17621.45
SO-2024-0016-L01,SO-2024-0016,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,77,pcs,113.3,8724.1
SO-2024-0016-L02,SO-2024-0016,2,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,38,pcs,388.17,14750.46
SO-2024-0016-L03,SO-2024-0016,3,RAW-4405,HDPE Rod 50mm dia,Raw Materials,96,m,13.89,1333.44
SO-2024-0016-L04,SO-2024-0016,4,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,38,pcs,158.85,6036.3
SO-2024-0016-L05,SO-2024-0016,5,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,90,pcs,105.43,9488.7
SO-2024-0016-L06,SO-2024-0016,6,RAW-4403,Copper Busbar 40×4mm,Raw Materials,63,m,20.53,1293.39
SO-2024-0017-L01,SO-2024-0017,1,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,69,pcs,361.22,24924.18
SO-2024-0017-L02,SO-2024-0017,2,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,49,pcs,254.04,12447.96
SO-2024-0018-L01,SO-2024-0018,1,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,90,kg,3.64,327.6
SO-2024-0018-L02,SO-2024-0018,2,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,43,kg,4.69,201.67
SO-2024-0018-L03,SO-2024-0018,3,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,18,pcs,127.86,2301.48
SO-2024-0018-L04,SO-2024-0018,4,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,22,MT,713.8,15703.6
SO-2024-0018-L05,SO-2024-0018,5,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,118,pcs,348.56,41130.08
SO-2024-0018-L06,SO-2024-0018,6,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,75,pcs,386.22,28966.5
SO-2024-0019-L01,SO-2024-0019,1,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,69,MT,733.97,50643.93
SO-2024-0019-L02,SO-2024-0019,2,RAW-4405,HDPE Rod 50mm dia,Raw Materials,120,m,17.45,2094.0
SO-2024-0019-L03,SO-2024-0019,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,11,kg,3.35,36.85
SO-2024-0020-L01,SO-2024-0020,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,25,m,23.93,598.25
SO-2024-0020-L02,SO-2024-0020,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,75,pcs,37.88,2841.0
SO-2024-0020-L03,SO-2024-0020,3,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,76,MT,690.87,52506.12
SO-2024-0020-L04,SO-2024-0020,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,14,kg,4.71,65.94
SO-2024-0021-L01,SO-2024-0021,1,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,21,pcs,96.46,2025.66
SO-2024-0021-L02,SO-2024-0021,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,51,pcs,411.92,21007.92
SO-2024-0021-L03,SO-2024-0021,3,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,106,pcs,41.61,4410.66
SO-2024-0021-L04,SO-2024-0021,4,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,10,pcs,112.27,1122.7
SO-2024-0022-L01,SO-2024-0022,1,RAW-4403,Copper Busbar 40×4mm,Raw Materials,100,m,19.24,1924.0
SO-2024-0022-L02,SO-2024-0022,2,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,35,pcs,409.17,14320.95
SO-2024-0022-L03,SO-2024-0022,3,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,107,pcs,109.89,11758.23
SO-2024-0022-L04,SO-2024-0022,4,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,117,pcs,109.43,12803.31
SO-2024-0023-L01,SO-2024-0023,1,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,94,kg,3.37,316.78
SO-2024-0023-L02,SO-2024-0023,2,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,116,pcs,28.54,3310.64
SO-2024-0023-L03,SO-2024-0023,3,RAW-4403,Copper Busbar 40×4mm,Raw Materials,65,m,19.78,1285.7
SO-2024-0024-L01,SO-2024-0024,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,56,pcs,393.13,22015.28
SO-2024-0024-L02,SO-2024-0024,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,115,MT,696.25,80068.75
SO-2024-0024-L03,SO-2024-0024,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,103,pcs,223.96,23067.88
SO-2024-0025-L01,SO-2024-0025,1,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,79,pcs,418.5,33061.5
SO-2024-0025-L02,SO-2024-0025,2,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,38,pcs,146.34,5560.92
SO-2024-0025-L03,SO-2024-0025,3,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,81,kg,3.9,315.9
SO-2024-0025-L04,SO-2024-0025,4,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,98,pcs,39.01,3822.98
SO-2024-0026-L01,SO-2024-0026,1,RAW-4405,HDPE Rod 50mm dia,Raw Materials,95,m,14.62,1388.9
SO-2024-0026-L02,SO-2024-0026,2,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,71,pcs,127.4,9045.4
SO-2024-0026-L03,SO-2024-0026,3,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,73,pcs,244.34,17836.82
SO-2024-0026-L04,SO-2024-0026,4,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,99,kg,4.38,433.62
SO-2024-0026-L05,SO-2024-0026,5,MECH-2201,Precision Ball Screw Assy 25mm,Mechanical Parts,30,pcs,394.57,11837.1
SO-2024-0027-L01,SO-2024-0027,1,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,44,pcs,1850.07,81403.08
SO-2024-0027-L02,SO-2024-0027,2,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,46,MT,726.22,33406.12
SO-2024-0027-L03,SO-2024-0027,3,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,42,pcs,164.4,6904.8
