wo_item_id,work_order_id,material_code,description,category,quantity,unit,target_unit_price_usd,required_by_date,preferred_vendor_category
WO-2024-0001-I01,WO-2024-0001,ELEC-3302,Encoder 2500 PPR Differential,Electrical Components,16,pcs,98.02,2024-03-14,Electrical Components
WO-2024-0001-I02,WO-2024-0001,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,115,pcs,1694.94,2024-03-17,Electrical Components
WO-2024-0001-I03,WO-2024-0001,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,85,pcs,200.38,2024-03-16,Mechanical Parts
WO-2024-0001-I04,WO-2024-0001,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,92,pcs,30.01,2024-03-18,Mechanical Parts
WO-2024-0001-I05,WO-2024-0001,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,13,pcs,358.31,2024-03-11,Electrical Components
WO-2024-0001-I06,WO-2024-0001,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,81,pcs,20.24,2024-03-10,Electrical Components
WO-2024-0002-I01,WO-2024-0002,RAW-4401,Steel HR Coil 3mm S235,Raw Materials,101,MT,666.62,2024-03-07,Raw Materials
WO-2024-0002-I02,WO-2024-0002,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,87,pcs,333.4,2024-03-05,Electrical Components
WO-2024-0003-I01,WO-2024-0003,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,18,pcs,406.07,2024-02-27,Electrical Components
WO-2024-0003-I02,WO-2024-0003,RAW-4403,Copper Busbar 40×4mm,Raw Materials,43,m,24.47,2024-02-29,Raw Materials
WO-2024-0003-I03,WO-2024-0003,MECH-2203,Servo Coupling 14/19mm,Mechanical Parts,69,pcs,34.6,2024-03-01,Mechanical Parts
WO-2024-0003-I04,WO-2024-0003,RAW-4405,HDPE Rod 50mm dia,Raw Materials,24,m,13.22,2024-02-28,Raw Materials
WO-2024-0004-I01,WO-2024-0004,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,67,pcs,88.47,2024-03-28,Electrical Components
WO-2024-0004-I02,WO-2024-0004,ELEC-3301,Servo Drive 5.5kW Siemens-compat,Electrical Components,51,pcs,1691.84,2024-03-25,Electrical Components
WO-2024-0005-I01,WO-2024-0005,RAW-4402,Aluminium Extrusion 6061-T6,Raw Materials,109,kg,2.82,2024-02-22,Raw Materials
WO-2024-0005-I02,WO-2024-0005,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,102,pcs,18.62,2024-02-20,Electrical Components
WO-2024-0006-I01,WO-2024-0006,MECH-2205,Cast Iron Bed Section Grade 300,Mechanical Parts,59,kg,4.53,2024-03-15,Mechanical Parts
WO-2024-0006-I02,WO-2024-0006,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,74,pcs,355.5,2024-03-08,Electrical Components
WO-2024-0006-I03,WO-2024-0006,ELEC-3305,Power Supply 24VDC 20A DIN,Electrical Components,93,pcs,98.02,2024-03-16,Electrical Components
WO-2024-0007-I01,WO-2024-0007,RAW-4405,HDPE Rod 50mm dia,Raw Materials,33,m,11.2,2024-03-18,Raw Materials
WO-2024-0007-I02,WO-2024-0007,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,7,pcs,357.84,2024-03-11,Electrical Components
WO-2024-0007-I03,WO-2024-0007,ELEC-3303,Limit Switch IP67 Stainless,Electrical Components,34,pcs,18.29,2024-03-09,Electrical Components
WO-2024-0007-I04,WO-2024-0007,MECH-2202,Linear Guide Rail 1500mm,Mechanical Parts,5,pcs,130.36,2024-03-11,Mechanical Parts
WO-2024-0007-I05,WO-2024-0007,MECH-2204,Spindle Bearing Set NSK 7210,Mechanical Parts,85,pcs,197.87,2024-03-09,Mechanical Parts
WO-2024-0008-I01,WO-2024-0008,ELEC-3304,PLC I/O Module 32-channel DI,Electrical Components,40,pcs,376.16,2024-02-05,Electrical Components
