rfq_id,work_order_ref,category,issue_date,bid_deadline,n_vendors_invited,urgency,estimated_value_usd,budget_ceiling_usd,month_index,status
RFQ-0001,WO-2024-0001,Electrical Components,2024-01-23,2024-02-06,7,standard,160927.3,242722.55,0,closed
RFQ-0002,WO-2024-0002,Electrical Components,2024-01-23,2024-02-06,7,standard,94001.88,108986.25,0,closed
RFQ-0003,WO-2024-0003,Raw Materials,2024-01-19,2024-02-02,8,standard,18416.86,12606.46,0,closed
RFQ-0004,WO-2024-0004,Electrical Components,2024-01-28,2024-02-09,7,standard,105038.29,111540.59,0,closed
RFQ-0005,WO-2024-0005,Electrical Components,2024-01-11,2024-01-25,7,standard,2261.92,2484.61,0,closed
RFQ-0006,WO-2024-0006,Electrical Components,2024-01-19,2024-02-02,7,standard,34506.43,44082.17,0,closed
RFQ-0007,WO-2024-0007,Electrical Components,2024-01-26,2024-02-09,7,standard,23470.37,26030.37,0,closed
RFQ-0008,WO-2024-0008,Electrical Components,2024-01-30,2024-02-06,7,critical,21634.2,26910.78,0,closed
RFQ-0009,WO-2024-0010,Electrical Components,2024-01-05,2024-01-12,7,critical,3444.87,5866.59,0,closed
RFQ-0010,WO-2024-0011,Mechanical Parts,2024-01-10,2024-01-24,8,standard,25086.14,33205.78,0,closed
RFQ-0011,WO-2024-0012,Raw Materials,2024-02-22,2024-03-04,8,expedited,2791.4,2998.68,1,closed
RFQ-0012,WO-2024-0013,Electrical Components,2024-03-03,2024-03-08,7,critical,34702.25,53414.52,1,closed
RFQ-0013,WO-2024-0014,Mechanical Parts,2024-02-22,2024-02-29,8,critical,10363.41,4106.56,1,closed
RFQ-0014,WO-2024-0016,Electrical Components,2024-02-23,2024-03-01,7,critical,48708.33,47541.12,1,closed
RFQ-0015,WO-2024-0017,Electrical Components,2024-02-23,2024-03-08,7,standard,35737.48,41720.1,1,closed
RFQ-0016,WO-2024-0018,Electrical Components,2024-02-10,2024-02-23,7,standard,92408.29,94996.89,1,closed
RFQ-0017,WO-2024-0019,Raw Materials,2024-02-27,2024-03-07,8,expedited,50070.67,58343.73,1,closed
RFQ-0018,WO-2024-0020,Mechanical Parts,2024-02-05,2024-02-14,8,expedited,32653.4,58386.71,1,closed
RFQ-0019,WO-2024-0021,Electrical Components,2024-02-20,2024-02-27,7,critical,28203.76,31745.97,1,closed
RFQ-0020,WO-2024-0022,Electrical Components,2024-02-24,2024-03-05,7,expedited,54629.93,44442.9,1,closed
RFQ-0021,WO-2024-0023,Mechanical Parts,2024-03-15,2024-03-26,8,expedited,4436.67,5200.2,2,closed
RFQ-0022,WO-2024-0024,Mechanical Parts,2024-03-29,2024-04-12,8,standard,112123.54,133266.05,2,closed
RFQ-0023,WO-2024-0025,Mechanical Parts,2024-03-25,2024-04-08,8,standard,42713.54,44939.41,2,closed
RFQ-0024,WO-2024-0026,Mechanical Parts,2024-03-20,2024-03-29,8,expedited,52913.25,44908.58,2,closed
