invite_id,rfq_id,vendor_id,vendor_name,invited_date,category,month_index,responded,response_type
RFQ-0001-INV-V018,RFQ-0001,V018,Guangzhou Mech & Elec Co.,2024-01-23,Electrical Components,0,True,bid
RFQ-0001-INV-V011,RFQ-0001,V011,Solaris Power Components,2024-01-23,Electrical Components,0,True,bid
RFQ-0001-INV-V006,RFQ-0001,V006,Bright Spark Electronics Ltd,2024-01-23,Electrical Components,0,True,bid
RFQ-0001-INV-V016,RFQ-0001,V016,Precision Arc Systems,2024-01-23,Electrical Components,0,True,bid
RFQ-0001-INV-V002,RFQ-0001,V002,Tanaka Electrical KK,2024-01-23,Electrical Components,0,False,no_response
RFQ-0001-INV-V013,RFQ-0001,V013,Vantage Sensors GmbH,2024-01-23,Electrical Components,0,False,no_response
RFQ-0001-INV-V021,RFQ-0001,V021,Helios Micro Systems,2024-01-23,Electrical Components,0,False,no_response
RFQ-0002-INV-V006,RFQ-0002,V006,Bright Spark Electronics Ltd,2024-01-23,Electrical Components,0,True,bid
RFQ-0002-INV-V018,RFQ-0002,V018,Guangzhou Mech & Elec Co.,2024-01-23,Electrical Components,0,True,bid
RFQ-0002-INV-V016,RFQ-0002,V016,Precision Arc Systems,2024-01-23,Electrical Components,0,True,bid
RFQ-0002-INV-V002,RFQ-0002,V002,Tanaka Electrical KK,2024-01-23,Electrical Components,0,True,bid
RFQ-0002-INV-V011,RFQ-0002,V011,Solaris Power Components,2024-01-23,Electrical Components,0,False,no_response
RFQ-0002-INV-V013,RFQ-0002,V013,Vantage Sensors GmbH,2024-01-23,Electrical Components,0,True,bid
RFQ-0002-INV-V021,RFQ-0002,V021,Helios Micro Systems,2024-01-23,Electrical Components,0,False,no_response
RFQ-0003-INV-V015,RFQ-0003,V015,Nordic Steel AS,2024-01-19,Raw Materials,0,True,bid
RFQ-0003-INV-V008,RFQ-0003,V008,Delta Composites Inc.,2024-01-19,Raw Materials,0,True,bid
RFQ-0003-INV-V014,RFQ-0003,V014,Coastal Alloys Pty Ltd,2024-01-19,Raw Materials,0,False,no_response
RFQ-0003-INV-V005,RFQ-0003,V005,Cerro Negro Metals SA,2024-01-19,Raw Materials,0,True,bid
RFQ-0003-INV-V020,RFQ-0003,V020,Rajasthan Rare Earths Ltd,2024-01-19,Raw Materials,0,True,bid
RFQ-0003-INV-V012,RFQ-0003,V012,Indra Copper Works,2024-01-19,Raw Materials,0,True,bid
RFQ-0003-INV-V003,RFQ-0003,V003,Patel Alloys Pvt Ltd,2024-01-19,Raw Materials,0,True,bid
RFQ-0003-INV-V023,RFQ-0003,V023,Sahara Industrial FZE,2024-01-19,Raw Materials,0,False,no_response
RFQ-0004-INV-V002,RFQ-0004,V002,Tanaka Electrical KK,2024-01-28,Electrical Components,0,True,bid
RFQ-0004-INV-V016,RFQ-0004,V016,Precision Arc Systems,2024-01-28,Electrical Components,0,False,no_response
RFQ-0004-INV-V013,RFQ-0004,V013,Vantage Sensors GmbH,2024-01-28,Electrical Components,0,True,bid
RFQ-0004-INV-V006,RFQ-0004,V006,Bright Spark Electronics Ltd,2024-01-28,Electrical Components,0,True,bid
RFQ-0004-INV-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,2024-01-28,Electrical Components,0,True,bid
RFQ-0004-INV-V011,RFQ-0004,V011,Solaris Power Components,2024-01-28,Electrical Components,0,True,bid
RFQ-0004-INV-V021,RFQ-0004,V021,Helios Micro Systems,2024-01-28,Electrical Components,0,False,no_response
RFQ-0005-INV-V016,RFQ-0005,V016,Precision Arc Systems,2024-01-11,Electrical Components,0,True,bid
RFQ-0005-INV-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2024-01-11,Electrical Components,0,True,bid
RFQ-0005-INV-V002,RFQ-0005,V002,Tanaka Electrical KK,2024-01-11,Electrical Components,0,True,bid
RFQ-0005-INV-V011,RFQ-0005,V011,Solaris Power Components,2024-01-11,Electrical Components,0,True,bid
RFQ-0005-INV-V006,RFQ-0005,V006,Bright Spark Electronics Ltd,2024-01-11,Electrical Components,0,False,no_response
RFQ-0005-INV-V021,RFQ-0005,V021,Helios Micro Systems,2024-01-11,Electrical Components,0,False,no_response
RFQ-0005-INV-V013,RFQ-0005,V013,Vantage Sensors GmbH,2024-01-11,Electrical Components,0,True,bid
RFQ-0006-INV-V016,RFQ-0006,V016,Precision Arc Systems,2024-01-19,Electrical Components,0,True,bid
RFQ-0006-INV-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,2024-01-19,Electrical Components,0,True,bid
RFQ-0006-INV-V021,RFQ-0006,V021,Helios Micro Systems,2024-01-19,Electrical Components,0,False,no_response
RFQ-0006-INV-V018,RFQ-0006,V018,Guangzhou Mech & Elec Co.,2024-01-19,Electrical Components,0,True,bid
RFQ-0006-INV-V002,RFQ-0006,V002,Tanaka Electrical KK,2024-01-19,Electrical Components,0,True,bid
RFQ-0006-INV-V013,RFQ-0006,V013,Vantage Sensors GmbH,2024-01-19,Electrical Components,0,False,no_response
RFQ-0006-INV-V011,RFQ-0006,V011,Solaris Power Components,2024-01-19,Electrical Components,0,True,bid
RFQ-0007-INV-V018,RFQ-0007,V018,Guangzhou Mech & Elec Co.,2024-01-26,Electrical Components,0,True,bid
RFQ-0007-INV-V011,RFQ-0007,V011,Solaris Power Components,2024-01-26,Electrical Components,0,True,bid
RFQ-0007-INV-V006,RFQ-0007,V006,Bright Spark Electronics Ltd,2024-01-26,Electrical Components,0,True,bid
RFQ-0007-INV-V002,RFQ-0007,V002,Tanaka Electrical KK,2024-01-26,Electrical Components,0,True,bid
RFQ-0007-INV-V013,RFQ-0007,V013,Vantage Sensors GmbH,2024-01-26,Electrical Components,0,True,bid
RFQ-0007-INV-V016,RFQ-0007,V016,Precision Arc Systems,2024-01-26,Electrical Components,0,True,bid
RFQ-0007-INV-V021,RFQ-0007,V021,Helios Micro Systems,2024-01-26,Electrical Components,0,False,no_response
RFQ-0008-INV-V002,RFQ-0008,V002,Tanaka Electrical KK,2024-01-30,Electrical Components,0,True,bid
RFQ-0008-INV-V018,RFQ-0008,V018,Guangzhou Mech & Elec Co.,2024-01-30,Electrical Components,0,True,bid
RFQ-0008-INV-V016,RFQ-0008,V016,Precision Arc Systems,2024-01-30,Electrical Components,0,False,no_response
RFQ-0008-INV-V006,RFQ-0008,V006,Bright Spark Electronics Ltd,2024-01-30,Electrical Components,0,True,bid
RFQ-0008-INV-V013,RFQ-0008,V013,Vantage Sensors GmbH,2024-01-30,Electrical Components,0,True,bid
RFQ-0008-INV-V011,RFQ-0008,V011,Solaris Power Components,2024-01-30,Electrical Components,0,False,no_response
RFQ-0008-INV-V021,RFQ-0008,V021,Helios Micro Systems,2024-01-30,Electrical Components,0,False,no_response
RFQ-0009-INV-V011,RFQ-0009,V011,Solaris Power Components,2024-01-05,Electrical Components,0,True,bid
RFQ-0009-INV-V018,RFQ-0009,V018,Guangzhou Mech & Elec Co.,2024-01-05,Electrical Components,0,True,bid
RFQ-0009-INV-V013,RFQ-0009,V013,Vantage Sensors GmbH,2024-01-05,Electrical Components,0,False,no_response
RFQ-0009-INV-V002,RFQ-0009,V002,Tanaka Electrical KK,2024-01-05,Electrical Components,0,True,bid
RFQ-0009-INV-V006,RFQ-0009,V006,Bright Spark Electronics Ltd,2024-01-05,Electrical Components,0,True,bid
RFQ-0009-INV-V016,RFQ-0009,V016,Precision Arc Systems,2024-01-05,Electrical Components,0,False,no_response
RFQ-0009-INV-V021,RFQ-0009,V021,Helios Micro Systems,2024-01-05,Electrical Components,0,False,no_response
