bid_id,rfq_id,vendor_id,vendor_name,bid_date,bid_unit_price,bid_total_usd,delivery_days,validity_days,price_delta_pct,archetype,month_index
BID-RFQ-0001-V018,RFQ-0001,V018,Guangzhou Mech & Elec Co.,2024-02-06,448.01,180100.02,27,30,11.91,aggressive_bidder,0
BID-RFQ-0001-V011,RFQ-0001,V011,Solaris Power Components,2024-02-05,338.79,136193.58,38,30,-15.37,volatile,0
BID-RFQ-0001-V006,RFQ-0001,V006,Bright Spark Electronics Ltd,2024-02-03,443.09,178122.18,30,30,10.68,volatile,0
BID-RFQ-0001-V016,RFQ-0001,V016,Precision Arc Systems,2024-02-06,373.47,150134.94,38,30,-6.71,volatile,0
BID-RFQ-0002-V006,RFQ-0002,V006,Bright Spark Electronics Ltd,2024-02-03,600.5,112894.0,29,30,20.1,volatile,0
BID-RFQ-0002-V018,RFQ-0002,V018,Guangzhou Mech & Elec Co.,2024-02-05,561.12,105490.56,39,30,12.22,aggressive_bidder,0
BID-RFQ-0002-V016,RFQ-0002,V016,Precision Arc Systems,2024-02-03,518.49,97476.12,36,30,3.7,volatile,0
BID-RFQ-0002-V002,RFQ-0002,V002,Tanaka Electrical KK,2024-02-04,508.88,95669.44,30,30,1.77,conservative,0
BID-RFQ-0002-V013,RFQ-0002,V013,Vantage Sensors GmbH,2024-02-03,507.03,95321.64,42,30,1.4,conservative,0
BID-RFQ-0003-V015,RFQ-0003,V015,Nordic Steel AS,2024-02-01,118.89,18309.06,21,30,-0.59,reliable,0
BID-RFQ-0003-V008,RFQ-0003,V008,Delta Composites Inc.,2024-02-01,105.75,16285.5,17,30,-11.57,aggressive_bidder,0
BID-RFQ-0003-V005,RFQ-0003,V005,Cerro Negro Metals SA,2024-02-02,110.72,17050.88,48,30,-7.42,aggressive_bidder,0
BID-RFQ-0003-V020,RFQ-0003,V020,Rajasthan Rare Earths Ltd,2024-02-02,112.01,17249.54,48,30,-6.34,relationship_focused,0
BID-RFQ-0003-V012,RFQ-0003,V012,Indra Copper Works,2024-02-02,114.33,17606.82,21,30,-4.4,reliable,0
BID-RFQ-0003-V003,RFQ-0003,V003,Patel Alloys Pvt Ltd,2024-01-31,111.62,17189.48,31,30,-6.67,relationship_focused,0
BID-RFQ-0004-V002,RFQ-0004,V002,Tanaka Electrical KK,2024-02-08,897.81,105941.58,39,30,0.86,conservative,0
BID-RFQ-0004-V013,RFQ-0004,V013,Vantage Sensors GmbH,2024-02-09,894.58,105560.44,28,30,0.5,conservative,0
BID-RFQ-0004-V006,RFQ-0004,V006,Bright Spark Electronics Ltd,2024-02-08,908.22,107169.96,54,30,2.03,volatile,0
BID-RFQ-0004-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,2024-02-07,953.93,112563.74,37,30,7.16,aggressive_bidder,0
BID-RFQ-0004-V011,RFQ-0004,V011,Solaris Power Components,2024-02-06,817.79,96499.22,43,30,-8.13,volatile,0
BID-RFQ-0005-V016,RFQ-0005,V016,Precision Arc Systems,2024-01-24,12.22,2578.42,49,30,14.03,volatile,0
BID-RFQ-0005-V018,RFQ-0005,V018,Guangzhou Mech & Elec Co.,2024-01-24,11.83,2496.13,54,30,10.34,aggressive_bidder,0
BID-RFQ-0005-V002,RFQ-0005,V002,Tanaka Electrical KK,2024-01-25,10.94,2308.34,17,30,2.01,conservative,0
BID-RFQ-0005-V011,RFQ-0005,V011,Solaris Power Components,2024-01-23,11.16,2354.76,31,30,4.13,volatile,0
BID-RFQ-0005-V013,RFQ-0005,V013,Vantage Sensors GmbH,2024-01-22,11.32,2388.52,13,30,5.63,conservative,0
BID-RFQ-0006-V016,RFQ-0006,V016,Precision Arc Systems,2024-01-31,132.79,30010.54,14,30,-13.03,volatile,0
BID-RFQ-0006-V006,RFQ-0006,V006,Bright Spark Electronics Ltd,2024-01-30,164.45,37165.7,21,30,7.71,volatile,0
BID-RFQ-0006-V018,RFQ-0006,V018,Guangzhou Mech & Elec Co.,2024-02-02,163.97,37057.22,41,30,7.39,aggressive_bidder,0
