eval_id,rfq_id,vendor_id,vendor_name,bid_total_usd,delivery_days,price_score,delivery_score,quality_score,relationship_score,composite_score,selected,month_index
EVAL-RFQ-0001-V011,RFQ-0001,V011,Solaris Power Components,136193.58,38,24.38,71.05,70.0,54.0,50.47,True,0
EVAL-RFQ-0001-V018,RFQ-0001,V018,Guangzhou Mech & Elec Co.,180100.02,27,0.0,100.0,65.0,54.0,48.4,True,0
EVAL-RFQ-0001-V006,RFQ-0001,V006,Bright Spark Electronics Ltd,178122.18,30,1.1,90.0,72.0,61.0,47.94,True,0
EVAL-RFQ-0001-V016,RFQ-0001,V016,Precision Arc Systems,150134.94,38,16.64,71.05,68.0,54.0,46.97,True,0
EVAL-RFQ-0002-V002,RFQ-0002,V002,Tanaka Electrical KK,95669.44,30,15.26,96.67,90.0,89.0,62.0,True,0
EVAL-RFQ-0002-V013,RFQ-0002,V013,Vantage Sensors GmbH,95321.64,42,15.57,69.05,88.0,89.0,53.44,True,0
EVAL-RFQ-0002-V006,RFQ-0002,V006,Bright Spark Electronics Ltd,112894.0,29,0.0,100.0,72.0,61.0,50.5,True,0
EVAL-RFQ-0002-V016,RFQ-0002,V016,Precision Arc Systems,97476.12,36,13.66,80.56,68.0,54.0,48.63,True,0
EVAL-RFQ-0002-V018,RFQ-0002,V018,Guangzhou Mech & Elec Co.,105490.56,39,6.56,74.36,65.0,54.0,43.33,True,0
EVAL-RFQ-0003-V008,RFQ-0003,V008,Delta Composites Inc.,16285.5,17,11.05,100.0,76.0,68.0,56.42,True,0
EVAL-RFQ-0003-V015,RFQ-0003,V015,Nordic Steel AS,18309.06,21,0.0,80.95,90.0,100.0,52.29,True,0
EVAL-RFQ-0003-V012,RFQ-0003,V012,Indra Copper Works,17606.82,21,3.84,80.95,81.0,82.0,50.22,True,0
EVAL-RFQ-0003-V003,RFQ-0003,V003,Patel Alloys Pvt Ltd,17189.48,31,6.11,54.84,78.0,75.0,42.0,True,0
EVAL-RFQ-0003-V005,RFQ-0003,V005,Cerro Negro Metals SA,17050.88,48,6.87,35.42,75.0,68.0,35.17,True,0
EVAL-RFQ-0003-V020,RFQ-0003,V020,Rajasthan Rare Earths Ltd,17249.54,48,5.79,35.42,76.0,61.0,34.24,False,0
EVAL-RFQ-0004-V013,RFQ-0004,V013,Vantage Sensors GmbH,105560.44,28,6.22,100.0,88.0,89.0,58.99,True,0
EVAL-RFQ-0004-V002,RFQ-0004,V002,Tanaka Electrical KK,105941.58,39,5.88,71.79,90.0,89.0,50.79,True,0
EVAL-RFQ-0004-V011,RFQ-0004,V011,Solaris Power Components,96499.22,43,14.27,65.12,70.0,54.0,44.64,True,0
EVAL-RFQ-0004-V018,RFQ-0004,V018,Guangzhou Mech & Elec Co.,112563.74,37,0.0,75.68,65.0,54.0,41.1,True,0
