delivery_id,po_id,vendor_id,promised_date,actual_date,days_late,on_time,condition,quality_issue,invoice_value_usd,month_index
DEL-PO-RFQ-0001-V011,PO-RFQ-0001-V011,V011,2024-02-13,2024-02-13,0,True,accepted,False,137021.46,0
DEL-PO-RFQ-0001-V018,PO-RFQ-0001-V018,V018,2024-02-07,2024-02-10,3,False,accepted,False,174708.15,0
DEL-PO-RFQ-0001-V006,PO-RFQ-0001-V006,V006,2024-02-07,2024-02-26,19,False,accepted,False,178964.35,0
DEL-PO-RFQ-0001-V016,PO-RFQ-0001-V016,V016,2024-02-17,2024-02-17,0,True,accepted,False,152904.07,0
DEL-PO-RFQ-0002-V002,PO-RFQ-0002-V002,V002,2024-02-06,2024-02-06,0,True,accepted,False,94516.7,0
DEL-PO-RFQ-0002-V013,PO-RFQ-0002-V013,V013,2024-02-20,2024-02-20,0,True,accepted,False,96865.95,0
DEL-PO-RFQ-0002-V006,PO-RFQ-0002-V006,V006,2024-02-05,2024-02-05,0,True,accepted,False,114520.25,0
DEL-PO-RFQ-0002-V016,PO-RFQ-0002-V016,V016,2024-02-11,2024-02-12,1,False,accepted,False,94814.12,0
DEL-PO-RFQ-0002-V018,PO-RFQ-0002-V018,V018,2024-02-12,2024-02-12,0,True,accepted,False,105266.54,0
DEL-PO-RFQ-0003-V008,PO-RFQ-0003-V008,V008,2024-01-21,2024-01-21,0,True,accepted,False,16157.75,0
DEL-PO-RFQ-0003-V015,PO-RFQ-0003-V015,V015,2024-01-26,2024-01-26,0,True,accepted,False,18300.65,0
DEL-PO-RFQ-0003-V012,PO-RFQ-0003-V012,V012,2024-01-26,2024-01-26,0,True,accepted,False,17546.12,0
DEL-PO-RFQ-0003-V003,PO-RFQ-0003-V003,V003,2024-02-06,2024-02-10,4,False,accepted,False,17416.43,0
DEL-PO-RFQ-0003-V005,PO-RFQ-0003-V005,V005,2024-02-22,2024-03-14,21,False,accepted,False,17144.94,0
DEL-PO-RFQ-0004-V013,PO-RFQ-0004-V013,V013,2024-02-06,2024-02-06,0,True,accepted,False,105645.61,0
DEL-PO-RFQ-0004-V002,PO-RFQ-0004-V002,V002,2024-02-15,2024-02-15,0,True,accepted,False,107605.96,0
