dispute_id,po_id,vendor_id,dispute_date,reason,claimed_usd,resolved,resolution,month_index
DISP-DEL-PO-RFQ-0001-V006,PO-RFQ-0001-V006,V006,2024-02-26,late_delivery,25869.5,True,replacement,0
DISP-DEL-PO-RFQ-0008-V002,PO-RFQ-0008-V002,V002,2024-02-19,late_delivery,2783.46,True,penalty_deducted,0
DISP-DEL-PO-RFQ-0012-V016,PO-RFQ-0012-V016,V016,2024-04-08,late_delivery,3397.35,True,credit_note,1
DISP-DEL-PO-RFQ-0014-V006,PO-RFQ-0014-V006,V006,2024-03-22,late_delivery,8255.15,True,penalty_deducted,1
DISP-DEL-PO-RFQ-0015-V006,PO-RFQ-0015-V006,V006,2024-04-10,late_delivery,7503.46,True,rejected_claim,1
DISP-DEL-PO-RFQ-0021-V004,PO-RFQ-0021-V004,V004,2024-04-01,quality_rejection,306.97,True,credit_note,2
DISP-DEL-PO-RFQ-0026-V018,PO-RFQ-0026-V018,V018,2024-03-31,quality_rejection,12615.21,True,credit_note,2
DISP-DEL-PO-RFQ-0033-V016,PO-RFQ-0033-V016,V016,2024-06-07,late_delivery,689.15,True,rejected_claim,3
DISP-DEL-PO-RFQ-0035-V004,PO-RFQ-0035-V004,V004,2024-05-26,quality_rejection,13690.65,True,replacement,3
DISP-DEL-PO-RFQ-0037-V016,PO-RFQ-0037-V016,V016,2024-06-14,late_delivery,17964.69,True,credit_note,3
DISP-DEL-PO-RFQ-0041-V009,PO-RFQ-0041-V009,V009,2024-06-09,quality_rejection,5261.07,True,penalty_deducted,4
DISP-DEL-PO-RFQ-0045-V019,PO-RFQ-0045-V019,V019,2024-05-26,quality_rejection,2399.78,True,penalty_deducted,4
DISP-DEL-PO-RFQ-0045-V010,PO-RFQ-0045-V010,V010,2024-06-17,late_delivery,4428.75,True,rejected_claim,4
DISP-DEL-PO-RFQ-0048-V024,PO-RFQ-0048-V024,V024,2024-05-31,late_delivery,11584.28,True,credit_note,4
DISP-DEL-PO-RFQ-0061-V003,PO-RFQ-0061-V003,V003,2024-08-01,late_delivery,374.79,True,penalty_deducted,5
DISP-DEL-PO-RFQ-0062-V004,PO-RFQ-0062-V004,V004,2024-09-17,late_delivery,624.92,True,rejected_claim,6
DISP-DEL-PO-RFQ-0068-V021,PO-RFQ-0068-V021,V021,2024-08-12,late_delivery,14306.05,True,penalty_deducted,6
DISP-DEL-PO-RFQ-0070-V008,PO-RFQ-0070-V008,V008,2024-08-14,late_delivery,2156.73,False,penalty_deducted,6
DISP-DEL-PO-RFQ-0073-V018,PO-RFQ-0073-V018,V018,2024-09-22,late_delivery,10779.86,True,credit_note,7
DISP-DEL-PO-RFQ-0077-V006,PO-RFQ-0077-V006,V006,2024-08-23,late_delivery,12069.01,True,replacement,7
DISP-DEL-PO-RFQ-0078-V012,PO-RFQ-0078-V012,V012,2024-08-30,late_delivery,8815.89,True,rejected_claim,7
DISP-DEL-PO-RFQ-0085-V005,PO-RFQ-0085-V005,V005,2024-10-05,quality_rejection,7266.43,True,penalty_deducted,8
DISP-DEL-PO-RFQ-0100-V012,PO-RFQ-0100-V012,V012,2024-10-21,quality_rejection,10572.13,True,penalty_deducted,9
DISP-DEL-PO-RFQ-0101-V001,PO-RFQ-0101-V001,V001,2024-10-26,quality_rejection,5900.15,True,penalty_deducted,9
DISP-DEL-PO-RFQ-0102-V001,PO-RFQ-0102-V001,V001,2024-11-06,quality_rejection,7900.77,False,rejected_claim,9
DISP-DEL-PO-RFQ-0107-V024,PO-RFQ-0107-V024,V024,2024-11-26,late_delivery,320.67,False,rejected_claim,10
DISP-DEL-PO-RFQ-0108-V023,PO-RFQ-0108-V023,V023,2024-12-19,late_delivery,5650.88,True,penalty_deducted,10
DISP-DEL-PO-RFQ-0115-V003,PO-RFQ-0115-V003,V003,2024-12-12,quality_rejection,12053.96,True,rejected_claim,10
DISP-DEL-PO-RFQ-0118-V018,PO-RFQ-0118-V018,V018,2025-01-26,quality_rejection,5070.77,True,penalty_deducted,11
DISP-DEL-PO-RFQ-0124-V008,PO-RFQ-0124-V008,V008,2024-12-29,quality_rejection,1054.49,True,credit_note,11
DISP-DEL-PO-RFQ-0130-V001,PO-RFQ-0130-V001,V001,2025-01-13,quality_rejection,5561.08,True,penalty_deducted,12
DISP-DEL-PO-RFQ-0154-V002,PO-RFQ-0154-V002,V002,2025-03-23,quality_rejection,365.06,True,credit_note,14
DISP-DEL-PO-RFQ-0157-V011,PO-RFQ-0157-V011,V011,2025-04-06,late_delivery,2135.67,True,rejected_claim,14
DISP-DEL-PO-RFQ-0168-V006,PO-RFQ-0168-V006,V006,2025-05-10,late_delivery,9006.7,True,replacement,15
DISP-DEL-PO-RFQ-0174-V016,PO-RFQ-0174-V016,V016,2025-05-07,late_delivery,7983.42,True,penalty_deducted,15
DISP-DEL-PO-RFQ-0180-V018,PO-RFQ-0180-V018,V018,2025-06-10,late_delivery,3519.85,True,rejected_claim,16
