payment_id,po_id,vendor_id,po_value_usd,payment_terms,due_date,actual_payment_date,days_late,days_early,payment_status,meridian_stress_index,month_index
PAY-PO-RFQ-0001-V011,PO-RFQ-0001-V011,V011,136193.58,2/10 Net30,2024-02-05,2024-01-31,0,5,on_time,0.0,0
PAY-PO-RFQ-0001-V018,PO-RFQ-0001-V018,V018,180100.02,Net60,2024-03-11,2024-03-08,0,3,on_time,0.0,0
PAY-PO-RFQ-0001-V006,PO-RFQ-0001-V006,V006,178122.18,Net60,2024-03-08,2024-03-05,0,3,on_time,0.0,0
PAY-PO-RFQ-0001-V016,PO-RFQ-0001-V016,V016,150134.94,2/10 Net30,2024-02-09,2024-02-04,0,5,on_time,0.0,0
PAY-PO-RFQ-0002-V002,PO-RFQ-0002-V002,V002,95669.44,Net60,2024-03-07,2024-03-06,0,1,on_time,0.0,0
PAY-PO-RFQ-0002-V013,PO-RFQ-0002-V013,V013,95321.64,Net45,2024-02-23,2024-02-21,0,2,on_time,0.0,0
PAY-PO-RFQ-0002-V006,PO-RFQ-0002-V006,V006,112894.0,2/10 Net30,2024-02-06,2024-02-04,0,2,on_time,0.0,0
PAY-PO-RFQ-0002-V016,PO-RFQ-0002-V016,V016,97476.12,Net45,2024-02-20,2024-02-17,0,3,on_time,0.0,0
PAY-PO-RFQ-0002-V018,PO-RFQ-0002-V018,V018,105490.56,Net30,2024-02-03,2024-02-01,0,2,on_time,0.0,0
PAY-PO-RFQ-0003-V008,PO-RFQ-0003-V008,V008,16285.5,LC at sight,2024-01-04,2024-01-01,0,3,on_time,0.0,0
PAY-PO-RFQ-0003-V015,PO-RFQ-0003-V015,V015,18309.06,Net45,2024-02-19,2024-02-16,0,3,on_time,0.0,0
PAY-PO-RFQ-0003-V012,PO-RFQ-0003-V012,V012,17606.82,2/10 Net30,2024-02-04,2024-02-04,0,0,on_time,0.0,0
PAY-PO-RFQ-0003-V003,PO-RFQ-0003-V003,V003,17189.48,Net45,2024-02-20,2024-02-18,0,2,on_time,0.0,0
PAY-PO-RFQ-0003-V005,PO-RFQ-0003-V005,V005,17050.88,Net60,2024-03-05,2024-03-05,0,0,on_time,0.0,0
PAY-PO-RFQ-0004-V013,PO-RFQ-0004-V013,V013,105560.44,Net60,2024-03-09,2024-03-08,0,1,on_time,0.0,0
PAY-PO-RFQ-0004-V002,PO-RFQ-0004-V002,V002,105941.58,2/10 Net30,2024-02-06,2024-02-10,4,0,slightly_late,0.0,0
PAY-PO-RFQ-0004-V011,PO-RFQ-0004-V011,V011,96499.22,2/10 Net30,2024-02-09,2024-02-06,0,3,on_time,0.0,0
PAY-PO-RFQ-0004-V018,PO-RFQ-0004-V018,V018,112563.74,LC at sight,2024-01-05,2024-01-03,0,2,on_time,0.0,0
PAY-PO-RFQ-0004-V006,PO-RFQ-0004-V006,V006,107169.96,Net45,2024-02-22,2024-02-27,5,0,slightly_late,0.0,0
PAY-PO-RFQ-0005-V013,PO-RFQ-0005-V013,V013,2388.52,Net30,2024-02-10,2024-02-05,0,5,on_time,0.0,0
PAY-PO-RFQ-0005-V002,PO-RFQ-0005-V002,V002,2308.34,Net45,2024-02-23,2024-02-22,0,1,on_time,0.0,0
PAY-PO-RFQ-0005-V011,PO-RFQ-0005-V011,V011,2354.76,Net45,2024-02-24,2024-02-20,0,4,on_time,0.0,0
PAY-PO-RFQ-0005-V016,PO-RFQ-0005-V016,V016,2578.42,Net30,2024-02-08,2024-02-06,0,2,on_time,0.0,0
PAY-PO-RFQ-0005-V018,PO-RFQ-0005-V018,V018,2496.13,Net30,2024-02-03,2024-01-30,0,4,on_time,0.0,0
PAY-PO-RFQ-0006-V002,PO-RFQ-0006-V002,V002,35721.56,2/10 Net30,2024-02-07,2024-02-03,0,4,on_time,0.0,0
PAY-PO-RFQ-0006-V016,PO-RFQ-0006-V016,V016,30010.54,2/10 Net30,2024-02-05,2024-02-05,0,0,on_time,0.0,0
