forecast_id,vendor_id,forecast_date,forecast_quarter,horizon_start,horizon_end,forecast_value_usd,actual_value_usd,accuracy_pct,meridian_stress,month_index
FC-0001,V001,2024-01-10,2024-Qq,2024-03-31,2024-06-29,79851.55,68353.28,85.6,0.0,0
FC-0002,V002,2024-01-08,2024-Qq,2024-03-31,2024-06-29,85940.34,66417.59,77.3,0.0,0
FC-0003,V003,2024-01-10,2024-Qq,2024-03-31,2024-06-29,54425.0,46748.21,85.9,0.0,0
FC-0004,V004,2024-01-16,2024-Qq,2024-03-31,2024-06-29,84891.46,81001.66,95.4,0.0,0
FC-0005,V007,2024-01-13,2024-Qq,2024-03-31,2024-06-29,81771.8,73565.36,90.0,0.0,0
FC-0006,V009,2024-01-11,2024-Qq,2024-03-31,2024-06-29,71909.67,58497.33,81.3,0.0,0
FC-0007,V012,2024-01-12,2024-Qq,2024-03-31,2024-06-29,70013.8,61194.81,87.4,0.0,0
FC-0008,V013,2024-01-08,2024-Qq,2024-03-31,2024-06-29,67067.91,58094.31,86.6,0.0,0
FC-0009,V015,2024-01-06,2024-Qq,2024-03-31,2024-06-29,83935.04,72228.37,86.1,0.0,0
FC-0010,V019,2024-01-12,2024-Qq,2024-03-31,2024-06-29,83524.63,75920.24,90.9,0.0,0
FC-0011,V001,2024-04-06,2024-Qq,2024-06-30,2024-09-28,89234.36,81056.76,90.8,0.0,3
FC-0012,V002,2024-04-09,2024-Qq,2024-06-30,2024-09-28,84047.32,68063.82,81.0,0.0,3
FC-0013,V003,2024-04-09,2024-Qq,2024-06-30,2024-09-28,87790.04,76495.88,87.1,0.0,3
FC-0014,V004,2024-04-16,2024-Qq,2024-06-30,2024-09-28,94541.8,74626.8,78.9,0.0,3
FC-0015,V007,2024-04-16,2024-Qq,2024-06-30,2024-09-28,89393.57,66701.39,74.6,0.0,3
FC-0016,V009,2024-04-12,2024-Qq,2024-06-30,2024-09-28,90768.16,72472.98,79.8,0.0,3
FC-0017,V012,2024-04-10,2024-Qq,2024-06-30,2024-09-28,93161.16,75823.66,81.4,0.0,3
FC-0018,V013,2024-04-07,2024-Qq,2024-06-30,2024-09-28,67902.65,46654.11,68.7,0.0,3
FC-0019,V015,2024-04-13,2024-Qq,2024-06-30,2024-09-28,67313.84,59830.33,88.9,0.0,3
FC-0020,V019,2024-04-15,2024-Qq,2024-06-30,2024-09-28,75633.89,45275.5,59.9,0.0,3
FC-0021,V001,2024-07-15,2024-Qq,2024-09-29,2024-12-28,83960.69,82281.48,98.0,0.0,6
FC-0022,V002,2024-07-14,2024-Qq,2024-09-29,2024-12-28,119161.4,112029.63,94.0,0.0,6
FC-0023,V003,2024-07-15,2024-Qq,2024-09-29,2024-12-28,108041.33,86337.91,79.9,0.0,6
FC-0024,V004,2024-07-15,2024-Qq,2024-09-29,2024-12-28,107078.74,87885.32,82.1,0.0,6
FC-0025,V007,2024-07-15,2024-Qq,2024-09-29,2024-12-28,114903.16,97005.59,84.4,0.0,6
FC-0026,V009,2024-07-10,2024-Qq,2024-09-29,2024-12-28,115073.68,88936.67,77.3,0.0,6
FC-0027,V012,2024-07-15,2024-Qq,2024-09-29,2024-12-28,112493.25,93977.93,83.5,0.0,6
FC-0028,V013,2024-07-10,2024-Qq,2024-09-29,2024-12-28,103116.26,83367.43,80.8,0.0,6
FC-0029,V015,2024-07-14,2024-Qq,2024-09-29,2024-12-28,94690.41,76932.0,81.2,0.0,6
FC-0030,V019,2024-07-15,2024-Qq,2024-09-29,2024-12-28,110061.16,91847.9,83.5,0.0,6
FC-0031,V020,2024-07-11,2024-Qq,2024-09-29,2024-12-28,113685.89,81276.06,71.5,0.0,6
FC-0032,V001,2024-10-06,2024-Qq,2024-12-30,2025-03-30,130555.19,101593.55,77.8,0.03,9
FC-0033,V002,2024-10-15,2024-Qq,2024-12-30,2025-03-30,121476.96,95733.05,78.8,0.03,9
FC-0034,V003,2024-10-16,2024-Qq,2024-12-30,2025-03-30,94190.53,73968.57,78.5,0.03,9
FC-0035,V004,2024-10-12,2024-Qq,2024-12-30,2025-03-30,125496.99,95093.28,75.8,0.03,9
FC-0036,V007,2024-10-12,2024-Qq,2024-12-30,2025-03-30,99103.32,85826.31,86.6,0.03,9
FC-0037,V009,2024-10-08,2024-Qq,2024-12-30,2025-03-30,90012.09,67212.73,74.7,0.03,9
FC-0038,V012,2024-10-09,2024-Qq,2024-12-30,2025-03-30,136544.87,108305.49,79.3,0.03,9
FC-0039,V013,2024-10-10,2024-Qq,2024-12-30,2025-03-30,132012.17,116010.16,87.9,0.03,9
FC-0040,V015,2024-10-07,2024-Qq,2024-12-30,2025-03-30,89955.51,69144.29,76.9,0.03,9
FC-0041,V019,2024-10-08,2024-Qq,2024-12-30,2025-03-30,122381.65,96945.49,79.2,0.03,9
FC-0042,V020,2024-10-15,2024-Qq,2024-12-30,2025-03-30,121570.1,93279.43,76.7,0.03,9
FC-0043,V001,2025-01-14,2025-Qq,2025-04-01,2025-06-30,93074.04,88326.29,94.9,-0.02,12
FC-0044,V002,2025-01-07,2025-Qq,2025-04-01,2025-06-30,87218.56,72337.51,82.9,-0.02,12
FC-0045,V003,2025-01-07,2025-Qq,2025-04-01,2025-06-30,73856.88,70361.11,95.3,-0.02,12
FC-0046,V004,2025-01-10,2025-Qq,2025-04-01,2025-06-30,83256.43,70078.02,84.2,-0.02,12
FC-0047,V007,2025-01-11,2025-Qq,2025-04-01,2025-06-30,69756.77,54497.0,78.1,-0.02,12
FC-0048,V009,2025-01-06,2025-Qq,2025-04-01,2025-06-30,60718.37,54910.65,90.4,-0.02,12
FC-0049,V012,2025-01-07,2025-Qq,2025-04-01,2025-06-30,67918.93,56075.67,82.6,-0.02,12
FC-0050,V013,2025-01-13,2025-Qq,2025-04-01,2025-06-30,78192.24,70344.87,90.0,-0.02,12
FC-0051,V015,2025-01-08,2025-Qq,2025-04-01,2025-06-30,66103.06,41753.84,63.2,-0.02,12
FC-0052,V019,2025-01-09,2025-Qq,2025-04-01,2025-06-30,93519.66,79530.65,85.0,-0.02,12
FC-0053,V020,2025-01-14,2025-Qq,2025-04-01,2025-06-30,88940.95,72329.59,81.3,-0.02,12
FC-0054,V001,2025-04-10,2025-Qq,2025-06-30,2025-09-28,1288.73,898.81,69.7,0.025,15
FC-0055,V002,2025-04-10,2025-Qq,2025-06-30,2025-09-28,883.77,652.44,73.8,0.025,15
FC-0056,V003,2025-04-16,2025-Qq,2025-06-30,2025-09-28,877.95,646.7,73.7,0.025,15
FC-0057,V004,2025-04-12,2025-Qq,2025-06-30,2025-09-28,1170.42,911.36,77.9,0.025,15
FC-0058,V007,2025-04-14,2025-Qq,2025-06-30,2025-09-28,1160.35,781.05,67.3,0.025,15
FC-0059,V009,2025-04-07,2025-Qq,2025-06-30,2025-09-28,1240.22,1001.85,80.8,0.025,15
FC-0060,V012,2025-04-14,2025-Qq,2025-06-30,2025-09-28,1070.67,954.82,89.2,0.025,15
FC-0061,V013,2025-04-08,2025-Qq,2025-06-30,2025-09-28,900.89,725.19,80.5,0.025,15
FC-0062,V015,2025-04-14,2025-Qq,2025-06-30,2025-09-28,1132.28,959.29,84.7,0.025,15
FC-0063,V019,2025-04-16,2025-Qq,2025-06-30,2025-09-28,1047.81,911.66,87.0,0.025,15
FC-0064,V020,2025-04-11,2025-Qq,2025-06-30,2025-09-28,1139.84,1004.68,88.1,0.025,15
