burden_id,rfq_id,vendor_id,responded,clarification_rounds,days_to_respond,spec_complete_flag,bid_submitted,month_index
BUR-RFQ-0001-V018,RFQ-0001,V018,True,0,14.0,True,True,0
BUR-RFQ-0001-V011,RFQ-0001,V011,True,1,13.0,True,True,0
BUR-RFQ-0001-V006,RFQ-0001,V006,True,1,11.0,True,True,0
BUR-RFQ-0001-V016,RFQ-0001,V016,True,1,14.0,True,True,0
BUR-RFQ-0001-V002,RFQ-0001,V002,False,0,,True,False,0
BUR-RFQ-0001-V013,RFQ-0001,V013,False,0,,True,False,0
BUR-RFQ-0001-V021,RFQ-0001,V021,False,0,,True,False,0
BUR-RFQ-0002-V006,RFQ-0002,V006,True,2,11.0,True,True,0
BUR-RFQ-0002-V018,RFQ-0002,V018,True,0,13.0,True,True,0
BUR-RFQ-0002-V016,RFQ-0002,V016,True,1,11.0,False,True,0
BUR-RFQ-0002-V002,RFQ-0002,V002,True,1,12.0,False,True,0
BUR-RFQ-0002-V011,RFQ-0002,V011,False,0,,True,False,0
BUR-RFQ-0002-V013,RFQ-0002,V013,True,0,11.0,True,True,0
BUR-RFQ-0002-V021,RFQ-0002,V021,False,0,,True,False,0
BUR-RFQ-0003-V015,RFQ-0003,V015,True,1,13.0,False,True,0
BUR-RFQ-0003-V008,RFQ-0003,V008,True,2,13.0,False,True,0
BUR-RFQ-0003-V014,RFQ-0003,V014,False,0,,True,False,0
BUR-RFQ-0003-V005,RFQ-0003,V005,True,0,14.0,True,True,0
BUR-RFQ-0003-V020,RFQ-0003,V020,True,0,14.0,True,True,0
BUR-RFQ-0003-V012,RFQ-0003,V012,True,1,14.0,False,True,0
BUR-RFQ-0003-V003,RFQ-0003,V003,True,0,12.0,True,True,0
BUR-RFQ-0003-V023,RFQ-0003,V023,False,0,,True,False,0
BUR-RFQ-0004-V002,RFQ-0004,V002,True,0,11.0,True,True,0
BUR-RFQ-0004-V016,RFQ-0004,V016,False,0,,True,False,0
BUR-RFQ-0004-V013,RFQ-0004,V013,True,2,12.0,False,True,0
BUR-RFQ-0004-V006,RFQ-0004,V006,True,2,11.0,True,True,0
BUR-RFQ-0004-V018,RFQ-0004,V018,True,2,10.0,False,True,0
BUR-RFQ-0004-V011,RFQ-0004,V011,True,1,9.0,True,True,0
BUR-RFQ-0004-V021,RFQ-0004,V021,False,0,,True,False,0
