health_score_id,vendor_id,vendor_name,month,month_index,relationship_arc,payment_reliability_score,win_rate_score,admin_burden_score,forecast_accuracy_score,composite_health_score,trend_3mo,thin_data_flag,alert_flag,alert_reason
HS-V001-202401,V001,Kovacs Precision GmbH,2024-01-01,0,declining,85.0,100.0,100.0,100.0,94.8,unknown,False,False,
HS-V002-202401,V002,Tanaka Electrical KK,2024-01-01,0,stable,100.0,100.0,95.0,93.2,97.7,unknown,False,False,
HS-V003-202401,V003,Patel Alloys Pvt Ltd,2024-01-01,0,improving,100.0,100.0,100.0,100.0,100.0,unknown,False,False,
HS-V004-202401,V004,Strömberg Hydraulics AB,2024-01-01,0,stable,100.0,100.0,100.0,100.0,100.0,unknown,False,False,
HS-V005-202401,V005,Cerro Negro Metals SA,2024-01-01,0,stable,100.0,100.0,100.0,,100.0,unknown,False,False,
HS-V006-202401,V006,Bright Spark Electronics Ltd,2024-01-01,0,stable,70.0,100.0,63.6,,76.9,unknown,False,False,
HS-V007-202401,V007,Nakamura Tooling Co.,2024-01-01,0,stable,85.0,100.0,100.0,100.0,94.8,unknown,False,False,
HS-V008-202401,V008,Delta Composites Inc.,2024-01-01,0,stable,100.0,100.0,45.0,,83.8,unknown,False,False,
HS-V009-202401,V009,Fischer & Söhne KG,2024-01-01,0,stable,100.0,100.0,100.0,100.0,100.0,unknown,False,False,
HS-V010-202401,V010,Adriatic Fastenings d.o.o.,2024-01-01,0,stable,75.0,0.0,65.0,,50.0,unknown,False,True,score_below_55
HS-V011-202401,V011,Solaris Power Components,2024-01-01,0,stable,100.0,100.0,68.3,,90.7,unknown,False,False,
HS-V012-202401,V012,Indra Copper Works,2024-01-01,0,improving,100.0,100.0,65.0,100.0,91.2,unknown,False,False,
HS-V013-202401,V013,Vantage Sensors GmbH,2024-01-01,0,stable,100.0,100.0,89.0,100.0,97.2,unknown,False,False,
HS-V014-202401,V014,Coastal Alloys Pty Ltd,2024-01-01,0,stable,75.0,0.0,70.0,,51.5,unknown,False,True,score_below_55
HS-V015-202401,V015,Nordic Steel AS,2024-01-01,0,stable,100.0,100.0,65.0,100.0,91.2,unknown,False,False,
HS-V016-202401,V016,Precision Arc Systems,2024-01-01,0,stable,100.0,100.0,73.0,,92.1,unknown,False,False,
HS-V017-202401,V017,Türk Makina A.Ş.,2024-01-01,0,stable,75.0,0.0,65.0,,50.0,unknown,False,True,score_below_55
HS-V018-202401,V018,Guangzhou Mech & Elec Co.,2024-01-01,0,collapse,88.0,100.0,84.4,,90.5,unknown,False,False,
HS-V019-202401,V019,Emerald Isle Castings Ltd,2024-01-01,0,stable,100.0,100.0,100.0,100.0,100.0,unknown,False,False,
HS-V020-202401,V020,Rajasthan Rare Earths Ltd,2024-01-01,0,improving,75.0,0.0,100.0,,60.3,unknown,False,False,
HS-V001-202402,V001,Kovacs Precision GmbH,2024-02-01,1,declining,79.0,100.0,88.3,100.0,89.7,declining,False,False,
HS-V002-202402,V002,Tanaka Electrical KK,2024-02-01,1,stable,80.8,100.0,97.1,93.2,91.5,declining,False,False,
HS-V003-202402,V003,Patel Alloys Pvt Ltd,2024-02-01,1,improving,100.0,100.0,100.0,100.0,100.0,stable,False,False,
HS-V004-202402,V004,Strömberg Hydraulics AB,2024-02-01,1,stable,100.0,100.0,88.3,100.0,97.1,declining,False,False,
HS-V005-202402,V005,Cerro Negro Metals SA,2024-02-01,1,stable,100.0,100.0,100.0,,100.0,stable,False,False,
HS-V006-202402,V006,Bright Spark Electronics Ltd,2024-02-01,1,stable,91.0,100.0,64.5,,85.9,improving,False,False,
HS-V007-202402,V007,Nakamura Tooling Co.,2024-02-01,1,stable,64.0,100.0,100.0,100.0,87.4,declining,False,False,
HS-V008-202402,V008,Delta Composites Inc.,2024-02-01,1,stable,100.0,100.0,81.7,,94.6,improving,False,False,
HS-V009-202402,V009,Fischer & Söhne KG,2024-02-01,1,stable,100.0,83.3,100.0,100.0,95.8,declining,False,False,
HS-V010-202402,V010,Adriatic Fastenings d.o.o.,2024-02-01,1,stable,85.0,83.3,82.5,,83.8,improving,False,False,
HS-V011-202402,V011,Solaris Power Components,2024-02-01,1,stable,83.2,100.0,67.0,,83.4,declining,False,False,
HS-V012-202402,V012,Indra Copper Works,2024-02-01,1,improving,88.0,100.0,88.3,100.0,92.9,stable,False,False,
HS-V013-202402,V013,Vantage Sensors GmbH,2024-02-01,1,stable,88.0,100.0,83.5,100.0,91.7,declining,False,False,
HS-V014-202402,V014,Coastal Alloys Pty Ltd,2024-02-01,1,stable,100.0,83.3,45.0,,78.9,improving,False,False,
HS-V015-202402,V015,Nordic Steel AS,2024-02-01,1,stable,100.0,100.0,65.0,100.0,91.2,stable,False,False,
HS-V016-202402,V016,Precision Arc Systems,2024-02-01,1,stable,83.2,100.0,76.1,,86.1,declining,False,False,
HS-V017-202402,V017,Türk Makina A.Ş.,2024-02-01,1,stable,75.0,0.0,82.5,,55.1,improving,False,False,
HS-V018-202402,V018,Guangzhou Mech & Elec Co.,2024-02-01,1,collapse,53.8,100.0,81.9,,75.7,declining,False,False,
HS-V019-202402,V019,Emerald Isle Castings Ltd,2024-02-01,1,stable,100.0,100.0,76.7,100.0,94.2,declining,False,False,
HS-V020-202402,V020,Rajasthan Rare Earths Ltd,2024-02-01,1,improving,100.0,100.0,81.7,,94.6,improving,False,False,
HS-V001-202403,V001,Kovacs Precision GmbH,2024-03-01,2,declining,92.8,100.0,90.0,100.0,95.0,stable,False,False,
HS-V002-202403,V002,Tanaka Electrical KK,2024-03-01,2,stable,44.2,100.0,91.7,93.2,77.4,declining,False,False,
